,Tarih,Saat,Toplam (MWh),AFYON WindSpeed(m/s)
0,01.02.2018,00:00,0.2,(1.0281349854537678+0j)
1,01.02.2018,01:00,0.5,(1.3953938583766277+0j)
2,01.02.2018,02:00,1.3,(1.918762651960164+0j)
3,01.02.2018,03:00,2.1,(2.2513684235915665+0j)
4,01.02.2018,04:00,4.0,(2.7907877167532553+0j)
5,01.02.2018,05:00,6.2,(3.2297633513511723+0j)
6,01.02.2018,06:00,8.7,(3.6158734568765736+0j)
7,01.02.2018,07:00,8.4,(3.5738246039772394+0j)
8,01.02.2018,08:00,11.28,(3.9428462200544088+0j)
9,01.02.2018,09:00,12.3,(4.0582784590455585+0j)
10,01.02.2018,10:00,14.77,(4.3135380912971355+0j)
11,01.02.2018,11:00,15.43,(4.376854548641107+0j)
12,01.02.2018,12:00,23.37,(5.026430822523406+0j)
13,01.02.2018,13:00,42.4,(6.130493334639526+0j)
14,01.02.2018,14:00,57.2,(6.773900534233386+0j)
15,01.02.2018,15:00,63.75,(7.023175733113107+0j)
16,01.02.2018,16:00,55.45,(6.704102657687265+0j)
17,01.02.2018,17:00,61.25,(6.93014258370625+0j)
18,01.02.2018,18:00,38.0,(5.910642214636152+0j)
19,01.02.2018,19:00,50.0,(6.476844551532806+0j)
20,01.02.2018,20:00,85.0,(7.730005108980555+0j)
21,01.02.2018,21:00,84.0,(7.699571702898023+0j)
22,01.02.2018,22:00,96.0,(8.050024770613152+0j)
23,01.02.2018,23:00,113.7,(8.517136887384229+0j)
24,02.02.2018,00:00,148.5,(9.309984478596956+0j)
25,02.02.2018,01:00,168.3,(9.70662334691113+0j)
26,02.02.2018,02:00,166.3,(9.668020340748813+0j)
27,02.02.2018,03:00,154.3,(9.429647272816243+0j)
28,02.02.2018,04:00,134.4,(9.005473694366264+0j)
29,02.02.2018,05:00,91.4,(7.9193378498787+0j)
30,02.02.2018,06:00,73.5,(7.364375402232767+0j)
31,02.02.2018,07:00,78.4,(7.5245204458907144+0j)
32,02.02.2018,08:00,90.4,(7.890350263070257+0j)
33,02.02.2018,09:00,66.2,(7.112017264168471+0j)
34,02.02.2018,10:00,76.2,(7.453469228540544+0j)
35,02.02.2018,11:00,52.4,(6.57885884053685+0j)
36,02.02.2018,12:00,91.0,(7.907768311345105+0j)
37,02.02.2018,13:00,99.75,(8.153506851949263+0j)
38,02.02.2018,14:00,86.95,(7.78867055584366+0j)
39,02.02.2018,15:00,58.15,(6.811196014956948+0j)
40,02.02.2018,16:00,37.65,(5.892439505657023+0j)
41,02.02.2018,17:00,30.7,(5.504944323010668+0j)
42,02.02.2018,18:00,49.4,(6.4508328473744285+0j)
43,02.02.2018,19:00,54.0,(6.6451490360910705+0j)
44,02.02.2018,20:00,53.7,(6.632820345369131+0j)
45,02.02.2018,21:00,69.3,(7.221341508138535+0j)
46,02.02.2018,22:00,122.6,(8.733807773779422+0j)
47,02.02.2018,23:00,39.8,(6.0025321715741375+0j)
48,03.02.2018,00:00,45.6,(6.280994598755592+0j)
49,03.02.2018,01:00,43.3,(6.173566128880284+0j)
50,03.02.2018,02:00,31.1,(5.528749783784914+0j)
51,03.02.2018,03:00,31.0,(5.5228176442684225+0j)
52,03.02.2018,04:00,34.2,(5.706662314433115+0j)
53,03.02.2018,05:00,43.7,(6.192518100809625+0j)
54,03.02.2018,06:00,19.7,(4.748198659835668+0j)
55,03.02.2018,07:00,27.5,(5.306616507444729+0j)
56,03.02.2018,08:00,44.9,(6.2486891324829905+0j)
57,03.02.2018,09:00,73.0,(7.347638127708524+0j)
58,03.02.2018,10:00,120.0,(8.671626310712465+0j)
59,03.02.2018,11:00,66.0,(7.104847887066928+0j)
60,03.02.2018,12:00,52.0,(6.562075964466941+0j)
61,03.02.2018,13:00,70.0,(7.245574379379894+0j)
62,03.02.2018,14:00,82.0,(7.637972490387304+0j)
63,03.02.2018,15:00,85.0,(7.730005108980555+0j)
64,03.02.2018,16:00,69.7,(7.235208736643653+0j)
65,03.02.2018,17:00,66.3,(7.115596538685212+0j)
66,03.02.2018,18:00,93.3,(7.973837000000969+0j)
67,03.02.2018,19:00,101.7,(8.20629497021289+0j)
68,03.02.2018,20:00,97.9,(8.102786011223916+0j)
69,03.02.2018,21:00,109.6,(8.413505644631954+0j)
70,03.02.2018,22:00,96.7,(8.069543438428571+0j)
71,03.02.2018,23:00,100.6,(8.176600880067557+0j)
72,04.02.2018,00:00,106.95,(8.345142083960658+0j)
73,04.02.2018,01:00,130.5,(8.917510778600063+0j)
74,04.02.2018,02:00,158.7,(9.51844010196551+0j)
75,04.02.2018,03:00,170.55,(9.74968790076508+0j)
76,04.02.2018,04:00,160.0,(9.544359735857691+0j)
77,04.02.2018,05:00,168.5,(9.71046679350043+0j)
78,04.02.2018,06:00,168.0,(9.700852463656133+0j)
79,04.02.2018,07:00,164.25,(9.628129695476641+0j)
