"Tarih","Saat","Toplam (MWh)","Doðal Gaz","Barajlý","Linyit","Akarsu","Ýthal Kömür","Rüzgar","Güneþ","Fuel Oil","Jeotermal","Asfaltit Kömür","Taþ Kömür","Biyokütle","Nafta","LNG","Uluslararasý"
"01.02.2018","00:00","0,20","0,00","0,00","0,00","0,00","0,00","0,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","01:00","0,50","0,00","0,00","0,00","0,00","0,00","0,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","02:00","1,30","0,00","0,00","0,00","0,00","0,00","1,30","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","03:00","2,10","0,00","0,00","0,00","0,00","0,00","2,10","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","04:00","4,00","0,00","0,00","0,00","0,00","0,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","05:00","6,20","0,00","0,00","0,00","0,00","0,00","6,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","06:00","8,70","0,00","0,00","0,00","0,00","0,00","8,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","07:00","8,40","0,00","0,00","0,00","0,00","0,00","8,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","08:00","11,28","0,00","0,00","0,00","0,00","0,00","11,28","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","09:00","12,30","0,00","0,00","0,00","0,00","0,00","12,30","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","10:00","14,77","0,00","0,00","0,00","0,00","0,00","14,77","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","11:00","15,43","0,00","0,00","0,00","0,00","0,00","15,43","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","12:00","23,37","0,00","0,00","0,00","0,00","0,00","23,37","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
