,Tarih,Saat,Toplam (MWh),AMASYA WindSpeed(m/s)
0,01.02.2018,00:00,6.0,5.175035138271556
1,01.02.2018,01:00,6.0,5.175035138271556
2,01.02.2018,02:00,6.0,5.175035138271556
3,01.02.2018,03:00,6.0,5.175035138271556
4,01.02.2018,04:00,9.0,5.923936428493402
5,01.02.2018,05:00,9.0,5.923936428493402
6,01.02.2018,06:00,10.0,6.135682611272968
7,01.02.2018,07:00,10.0,6.135682611272968
8,01.02.2018,08:00,17.0,7.32283406755512
9,01.02.2018,09:00,19.0,7.599425348889578
10,01.02.2018,10:00,21.0,7.857227314972226
11,01.02.2018,11:00,27.0,8.543794768523012
12,01.02.2018,12:00,30.0,8.849185609651077
13,01.02.2018,13:00,34.0,9.226192786599992
14,01.02.2018,14:00,33.0,9.134838342825436
15,01.02.2018,15:00,32.0,9.041619202235886
16,01.02.2018,16:00,31.0,8.946437194613663
17,01.02.2018,17:00,26.0,8.436986137009628
18,01.02.2018,18:00,31.0,8.946437194613663
19,01.02.2018,19:00,37.0,9.489939874550252
20,01.02.2018,20:00,40.0,9.739789031677699
21,01.02.2018,21:00,37.0,9.489939874550252
22,01.02.2018,22:00,40.0,9.739789031677699
23,01.02.2018,23:00,38.0,9.57467596417067
24,02.02.2018,00:00,41.0,9.820286806370943
25,02.02.2018,01:00,40.0,9.739789031677699
26,02.02.2018,02:00,42.0,9.899486087942483
27,02.02.2018,03:00,41.0,9.820286806370943
28,02.02.2018,04:00,31.0,8.946437194613663
29,02.02.2018,05:00,24.0,8.214856222464665
30,02.02.2018,06:00,31.0,8.946437194613663
31,02.02.2018,07:00,34.0,9.226192786599992
32,02.02.2018,08:00,38.0,9.57467596417067
33,02.02.2018,09:00,39.0,9.657938195259938
34,02.02.2018,10:00,42.0,9.899486087942483
35,02.02.2018,11:00,42.0,9.899486087942483
36,02.02.2018,12:00,42.0,9.899486087942483
37,02.02.2018,13:00,42.0,9.899486087942483
38,02.02.2018,14:00,42.0,9.899486087942483
39,02.02.2018,15:00,42.0,9.899486087942483
40,02.02.2018,16:00,42.0,9.899486087942483
41,02.02.2018,17:00,42.0,9.899486087942483
42,02.02.2018,18:00,42.0,9.899486087942483
43,02.02.2018,19:00,42.0,9.899486087942483
44,02.02.2018,20:00,42.0,9.899486087942483
45,02.02.2018,21:00,42.0,9.899486087942483
46,02.02.2018,22:00,42.0,9.899486087942483
47,02.02.2018,23:00,42.0,9.899486087942483
48,03.02.2018,00:00,42.0,9.899486087942483
49,03.02.2018,01:00,42.0,9.899486087942483
50,03.02.2018,02:00,36.0,9.403662918383166
51,03.02.2018,03:00,20.0,7.730475677416756
52,03.02.2018,04:00,9.0,5.923936428493402
53,03.02.2018,05:00,6.0,5.175035138271556
54,03.02.2018,06:00,10.0,6.135682611272968
55,03.02.2018,07:00,18.0,7.463692204497892
56,03.02.2018,08:00,18.0,7.463692204497892
57,03.02.2018,09:00,20.0,7.730475677416756
58,03.02.2018,10:00,28.0,8.647997657355319
59,03.02.2018,11:00,35.0,9.315773076160381
60,03.02.2018,12:00,32.0,9.041619202235886
61,03.02.2018,13:00,40.0,9.739789031677699
62,03.02.2018,14:00,42.0,9.899486087942483
63,03.02.2018,15:00,41.0,9.820286806370943
64,03.02.2018,16:00,42.0,9.899486087942483
65,03.02.2018,17:00,42.0,9.899486087942483
66,03.02.2018,18:00,42.0,9.899486087942483
67,03.02.2018,19:00,42.0,9.899486087942483
68,03.02.2018,20:00,42.0,9.899486087942483
69,03.02.2018,21:00,42.0,9.899486087942483
70,03.02.2018,22:00,42.0,9.899486087942483
71,03.02.2018,23:00,42.0,9.899486087942483
72,04.02.2018,00:00,42.0,9.899486087942483
73,04.02.2018,01:00,42.0,9.899486087942483
74,04.02.2018,02:00,42.0,9.899486087942483
75,04.02.2018,03:00,40.0,9.739789031677699
76,04.02.2018,04:00,40.0,9.739789031677699
77,04.02.2018,05:00,38.0,9.57467596417067
78,04.02.2018,06:00,34.0,9.226192786599992
79,04.02.2018,07:00,30.0,8.849185609651077
80,04.02.2018,08:00,39.0,9.657938195259938
81,04.02.2018,09:00,42.0,9.899486087942483
82,04.02.2018,10:00,40.0,9.739789031677699
83,04.02.2018,11:00,31.0,8.946437194613663
84,04.02.2018,12:00,32.0,9.041619202235886
85,04.02.2018,13:00,31.0,8.946437194613663
86,04.02.2018,14:00,26.0,8.436986137009628
87,04.02.2018,15:00,37.0,9.489939874550252
88,04.02.2018,16:00,33.0,9.134838342825436
89,04.02.2018,17:00,30.0,8.849185609651077
90,04.02.2018,18:00,37.0,9.489939874550252
91,04.02.2018,19:00,41.0,9.820286806370943
92,04.02.2018,20:00,42.0,9.899486087942483
93,04.02.2018,21:00,39.0,9.657938195259938
94,04.02.2018,22:00,41.0,9.820286806370943
95,04.02.2018,23:00,38.0,9.57467596417067
96,05.02.2018,00:00,42.0,9.899486087942483
97,05.02.2018,01:00,42.0,9.899486087942483
98,05.02.2018,02:00,42.0,9.899486087942483
99,05.02.2018,03:00,42.0,9.899486087942483
100,05.02.2018,04:00,34.0,9.226192786599992
101,05.02.2018,05:00,28.0,8.647997657355319
102,05.02.2018,06:00,16.0,7.1763379165625585
103,05.02.2018,07:00,10.0,6.135682611272968
104,05.02.2018,08:00,8.0,5.695863179015341
105,05.02.2018,09:00,10.0,6.135682611272968
106,05.02.2018,10:00,8.0,5.695863179015341
107,05.02.2018,11:00,4.0,4.520809601117943
108,05.02.2018,12:00,2.0,3.5881689582812797
109,05.02.2018,13:00,7.0,5.447897143971759
110,05.02.2018,14:00,16.0,7.1763379165625585
111,05.02.2018,15:00,28.0,8.647997657355319
112,05.02.2018,16:00,23.0,8.099138608277048
113,05.02.2018,17:00,4.0,4.520809601117943
114,05.02.2018,18:00,4.0,4.520809601117943
115,05.02.2018,19:00,2.0,3.5881689582812797
116,05.02.2018,20:00,2.0,3.5881689582812797
117,05.02.2018,21:00,3.0,4.107428111232332
118,05.02.2018,22:00,21.0,7.857227314972226
119,05.02.2018,23:00,0.0,0.0
120,06.02.2018,00:00,2.0,3.5881689582812797
121,06.02.2018,01:00,1.0,2.8479315895076707
122,06.02.2018,02:00,0.0,0.0
123,06.02.2018,03:00,0.0,0.0
124,06.02.2018,04:00,3.0,4.107428111232332
125,06.02.2018,05:00,3.0,4.107428111232332
126,06.02.2018,06:00,0.0,0.0
127,06.02.2018,07:00,0.0,0.0
128,06.02.2018,08:00,0.0,0.0
129,06.02.2018,09:00,0.0,0.0
130,06.02.2018,10:00,0.0,0.0
131,06.02.2018,11:00,0.0,0.0
132,06.02.2018,12:00,0.0,0.0
133,06.02.2018,13:00,0.0,0.0
134,06.02.2018,14:00,0.0,0.0
135,06.02.2018,15:00,0.0,0.0
136,06.02.2018,16:00,0.0,0.0
137,06.02.2018,17:00,0.0,0.0
138,06.02.2018,18:00,1.0,2.8479315895076707
139,06.02.2018,19:00,1.0,2.8479315895076707
140,06.02.2018,20:00,0.0,0.0
141,06.02.2018,21:00,0.0,0.0
142,06.02.2018,22:00,0.0,0.0
143,06.02.2018,23:00,0.0,0.0
144,07.02.2018,00:00,0.0,0.0
145,07.02.2018,01:00,0.0,0.0
146,07.02.2018,02:00,2.0,3.5881689582812797
147,07.02.2018,03:00,3.0,4.107428111232332
148,07.02.2018,04:00,2.0,3.5881689582812797
