,Tarih,Saat,Toplam (MWh),AYDIN WindSpeed(m/s)
0,01.02.2018,00:00,5.93,(5.449154438919076+0j)
1,01.02.2018,01:00,9.4,(6.353604395697744+0j)
2,01.02.2018,02:00,20.9,(8.292643223470911+0j)
3,01.02.2018,03:00,25.4,(8.849569096331733+0j)
4,01.02.2018,04:00,16.1,(7.601853766111358+0j)
5,01.02.2018,05:00,21.8,(8.410007508112885+0j)
6,01.02.2018,06:00,25.3,(8.837940214215557+0j)
7,01.02.2018,07:00,21.7,(8.397128456555759+0j)
8,01.02.2018,08:00,24.4,(8.7318746870208+0j)
9,01.02.2018,09:00,36.3,(9.968116246079372+0j)
10,01.02.2018,10:00,41.1,(10.38942453672119+0j)
11,01.02.2018,11:00,42.5,(10.506075779259325+0j)
12,01.02.2018,12:00,42.8,(10.530738019468695+0j)
13,01.02.2018,13:00,37.3,(10.058822925041548+0j)
14,01.02.2018,14:00,31.9,(9.547898202312288+0j)
15,01.02.2018,15:00,32.7,(9.627055374517276+0j)
16,01.02.2018,16:00,36.5,(9.986389643985815+0j)
17,01.02.2018,17:00,39.2,(10.226795570325265+0j)
18,01.02.2018,18:00,42.7,(10.522530114335344+0j)
19,01.02.2018,19:00,44.3,(10.652350824549801+0j)
20,01.02.2018,20:00,43.1,(10.555285283155564+0j)
21,01.02.2018,21:00,44.8,(10.69227755020825+0j)
22,01.02.2018,22:00,44.8,(10.69227755020825+0j)
23,01.02.2018,23:00,43.9,(10.620192588644253+0j)
24,02.02.2018,00:00,43.4,(10.579718901085847+0j)
25,02.02.2018,01:00,40.5,(10.338619692868134+0j)
26,02.02.2018,02:00,36.8,(10.013674997200281+0j)
27,02.02.2018,03:00,39.4,(10.244158584257733+0j)
28,02.02.2018,04:00,36.5,(9.986389643985815+0j)
29,02.02.2018,05:00,34.1,(9.762529187415684+0j)
30,02.02.2018,06:00,32.6,(9.61723184180237+0j)
31,02.02.2018,07:00,33.7,(9.724206794194371+0j)
