,Tarih,Saat,Toplam (MWh),BILECIK WindSpeed(m/s)
0,01.02.2018,00:00,0.91,3.083416079616301
1,01.02.2018,01:00,0.0,0.0
2,01.02.2018,02:00,0.19,1.8292351402631686
3,01.02.2018,03:00,0.61,2.698536399243476
4,01.02.2018,04:00,1.41,3.5679988547832138
5,01.02.2018,05:00,2.91,4.542720307772792
6,01.02.2018,06:00,5.04,5.455424053787175
7,01.02.2018,07:00,7.68,6.277770122173947
8,01.02.2018,08:00,11.78,7.239914413780154
9,01.02.2018,09:00,15.71,7.9691205609305955
10,01.02.2018,10:00,20.69,8.735179470734293
11,01.02.2018,11:00,18.5,8.415415784236757
12,01.02.2018,12:00,17.82,8.311018237641182
13,01.02.2018,13:00,23.23,9.078931485494305
14,01.02.2018,14:00,28.34,9.701039748899534
15,01.02.2018,15:00,25.25,9.334809572911263
16,01.02.2018,16:00,27.52,9.60655806139027
17,01.02.2018,17:00,31.02,9.997673122835945
18,01.02.2018,18:00,26.05,9.43237180215059
19,01.02.2018,19:00,29.12,9.789235856877154
20,01.02.2018,20:00,32.59,10.16357404697545
21,01.02.2018,21:00,24.35,9.222556487736746
22,01.02.2018,22:00,28.46,9.714712832179998
23,01.02.2018,23:00,29.33,9.81271133251934
24,02.02.2018,00:00,36.51,10.555746365593444
25,02.02.2018,01:00,37.78,10.676747859719393
26,02.02.2018,02:00,31.92,10.093442105515932
27,02.02.2018,03:00,33.34,10.240948934743937
28,02.02.2018,04:00,36.98,10.600848738741211
29,02.02.2018,05:00,38.9,10.781227304723817
30,02.02.2018,06:00,38.59,10.752511811193447
31,02.02.2018,07:00,35.87,10.49370362776514
32,02.02.2018,08:00,38.58,10.751582948731052
33,02.02.2018,09:00,36.18,10.523846937564926
34,02.02.2018,10:00,33.9,10.297968715997458
35,02.02.2018,11:00,36.82,10.585537868920984
36,02.02.2018,12:00,38.67,10.75993694039727
37,02.02.2018,13:00,38.22,10.718036450017578
38,02.02.2018,14:00,37.7,10.669206449574824
39,02.02.2018,15:00,36.5,10.554782546526218
40,02.02.2018,16:00,27.98,9.659787486912006
41,02.02.2018,17:00,18.69,8.444127247439088
42,02.02.2018,18:00,32.02,10.103971470657221
43,02.02.2018,19:00,34.86,10.394273252114973
44,02.02.2018,20:00,30.38,9.928437934788574
45,02.02.2018,21:00,32.3,10.13333754830427
46,02.02.2018,22:00,33.09,10.215287433650317
47,02.02.2018,23:00,28.4,9.707881105009688
48,03.02.2018,00:00,9.65,6.774243030688289
49,03.02.2018,01:00,10.9,7.054948287456552
50,03.02.2018,02:00,11.98,7.28065761491451
51,03.02.2018,03:00,12.03,7.290772462061806
52,03.02.2018,04:00,13.12,7.504635678908826
53,03.02.2018,05:00,23.66,9.134608013127357
54,03.02.2018,06:00,29.81,9.86595190702391
55,03.02.2018,07:00,19.12,8.508394758990992
