"Tarih","Saat","Toplam (MWh)","Doðal Gaz","Barajlý","Linyit","Akarsu","Ýthal Kömür","Rüzgar","Güneþ","Fuel Oil","Jeotermal","Asfaltit Kömür","Taþ Kömür","Biyokütle","Nafta","LNG","Uluslararasý"
"01.02.2018","00:00","0,91","0,00","0,00","0,00","0,00","0,00","0,91","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","01:00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","02:00","0,19","0,00","0,00","0,00","0,00","0,00","0,19","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","03:00","0,61","0,00","0,00","0,00","0,00","0,00","0,61","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","04:00","1,41","0,00","0,00","0,00","0,00","0,00","1,41","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","05:00","2,91","0,00","0,00","0,00","0,00","0,00","2,91","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","06:00","5,04","0,00","0,00","0,00","0,00","0,00","5,04","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","07:00","7,68","0,00","0,00","0,00","0,00","0,00","7,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","08:00","11,78","0,00","0,00","0,00","0,00","0,00","11,78","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","09:00","15,71","0,00","0,00","0,00","0,00","0,00","15,71","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","10:00","20,69","0,00","0,00","0,00","0,00","0,00","20,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","11:00","18,50","0,00","0,00","0,00","0,00","0,00","18,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","12:00","17,82","0,00","0,00","0,00","0,00","0,00","17,82","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","13:00","23,23","0,00","0,00","0,00","0,00","0,00","23,23","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","14:00","28,34","0,00","0,00","0,00","0,00","0,00","28,34","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"01.02.2018","15:00","25,25","0,00","0,00","0,00","0,00","0,00","25,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
