,Tarih,Saat,Toplam (MWh),BURSA WindSpeed(m/s)
0,01.02.2018,00:00,0.0,0j
1,01.02.2018,01:00,5.0,(4.937589713934536+0j)
2,01.02.2018,02:00,13.0,(6.789525894016894+0j)
3,01.02.2018,03:00,10.0,(6.220973216330527+0j)
4,01.02.2018,04:00,19.0,(7.7050630793852335+0j)
5,01.02.2018,05:00,32.0,(9.167304512463943+0j)
6,01.02.2018,06:00,41.0,(9.956796182200662+0j)
7,01.02.2018,07:00,49.0,(10.566318356153731+0j)
8,01.02.2018,08:00,47.0,(10.42055741620353+0j)
9,01.02.2018,09:00,39.0,(9.792190803236888+0j)
10,01.02.2018,10:00,25.0,(8.443159645386329+0j)
11,01.02.2018,11:00,26.0,(8.554266592678193+0j)
12,01.02.2018,12:00,47.0,(10.42055741620353+0j)
13,01.02.2018,13:00,53.0,(10.846350171583701+0j)
14,01.02.2018,14:00,54.0,(10.914141620098563+0j)
15,01.02.2018,15:00,54.0,(10.914141620098563+0j)
16,01.02.2018,16:00,54.0,(10.914141620098563+0j)
17,01.02.2018,17:00,54.0,(10.914141620098563+0j)
18,01.02.2018,18:00,54.0,(10.914141620098563+0j)
19,01.02.2018,19:00,53.0,(10.846350171583701+0j)
20,01.02.2018,20:00,50.0,(10.637714564845169+0j)
21,01.02.2018,21:00,54.0,(10.914141620098563+0j)
22,01.02.2018,22:00,54.0,(10.914141620098563+0j)
23,01.02.2018,23:00,55.0,(10.981101219190249+0j)
24,02.02.2018,00:00,54.0,(10.914141620098563+0j)
25,02.02.2018,01:00,54.0,(10.914141620098563+0j)
26,02.02.2018,02:00,54.0,(10.914141620098563+0j)
27,02.02.2018,03:00,54.0,(10.914141620098563+0j)
28,02.02.2018,04:00,54.0,(10.914141620098563+0j)
29,02.02.2018,05:00,54.0,(10.914141620098563+0j)
30,02.02.2018,06:00,54.0,(10.914141620098563+0j)
31,02.02.2018,07:00,54.0,(10.914141620098563+0j)
32,02.02.2018,08:00,54.0,(10.914141620098563+0j)
33,02.02.2018,09:00,54.0,(10.914141620098563+0j)
34,02.02.2018,10:00,54.0,(10.914141620098563+0j)
35,02.02.2018,11:00,54.0,(10.914141620098563+0j)
36,02.02.2018,12:00,54.0,(10.914141620098563+0j)
37,02.02.2018,13:00,54.0,(10.914141620098563+0j)
38,02.02.2018,14:00,45.0,(10.270600488822707+0j)
39,02.02.2018,15:00,51.0,(10.708165058791522+0j)
40,02.02.2018,16:00,53.0,(10.846350171583701+0j)
41,02.02.2018,17:00,55.0,(10.981101219190249+0j)
42,02.02.2018,18:00,55.0,(10.981101219190249+0j)
43,02.02.2018,19:00,55.0,(10.981101219190249+0j)
44,02.02.2018,20:00,53.0,(10.846350171583701+0j)
45,02.02.2018,21:00,54.0,(10.914141620098563+0j)
46,02.02.2018,22:00,55.0,(10.981101219190249+0j)
47,02.02.2018,23:00,54.0,(10.914141620098563+0j)
48,03.02.2018,00:00,55.0,(10.981101219190249+0j)
49,03.02.2018,01:00,55.0,(10.981101219190249+0j)
50,03.02.2018,02:00,48.0,(10.493944041240903+0j)
51,03.02.2018,03:00,50.0,(10.637714564845169+0j)
52,03.02.2018,04:00,55.0,(10.981101219190249+0j)
53,03.02.2018,05:00,54.0,(10.914141620098563+0j)
54,03.02.2018,06:00,55.0,(10.981101219190249+0j)
55,03.02.2018,07:00,53.0,(10.846350171583701+0j)
56,03.02.2018,08:00,53.0,(10.846350171583701+0j)
57,03.02.2018,09:00,55.0,(10.981101219190249+0j)
58,03.02.2018,10:00,54.0,(10.914141620098563+0j)
59,03.02.2018,11:00,54.0,(10.914141620098563+0j)
60,03.02.2018,12:00,54.0,(10.914141620098563+0j)
61,03.02.2018,13:00,54.0,(10.914141620098563+0j)
62,03.02.2018,14:00,54.0,(10.914141620098563+0j)
63,03.02.2018,15:00,54.0,(10.914141620098563+0j)
64,03.02.2018,16:00,53.0,(10.846350171583701+0j)
65,03.02.2018,17:00,26.0,(8.554266592678193+0j)
66,03.02.2018,18:00,30.0,(8.972195948146599+0j)
67,03.02.2018,19:00,51.0,(10.708165058791522+0j)
68,03.02.2018,20:00,54.0,(10.914141620098563+0j)
69,03.02.2018,21:00,54.0,(10.914141620098563+0j)
70,03.02.2018,22:00,54.0,(10.914141620098563+0j)
71,03.02.2018,23:00,55.0,(10.981101219190249+0j)
72,04.02.2018,00:00,53.0,(10.846350171583701+0j)
73,04.02.2018,01:00,54.0,(10.914141620098563+0j)
74,04.02.2018,02:00,55.0,(10.981101219190249+0j)
75,04.02.2018,03:00,55.0,(10.981101219190249+0j)
76,04.02.2018,04:00,54.0,(10.914141620098563+0j)
77,04.02.2018,05:00,53.0,(10.846350171583701+0j)
78,04.02.2018,06:00,54.0,(10.914141620098563+0j)
79,04.02.2018,07:00,54.0,(10.914141620098563+0j)
80,04.02.2018,08:00,54.0,(10.914141620098563+0j)
81,04.02.2018,09:00,54.0,(10.914141620098563+0j)
82,04.02.2018,10:00,54.0,(10.914141620098563+0j)
83,04.02.2018,11:00,54.0,(10.914141620098563+0j)
84,04.02.2018,12:00,53.0,(10.846350171583701+0j)
85,04.02.2018,13:00,51.0,(10.708165058791522+0j)
86,04.02.2018,14:00,54.0,(10.914141620098563+0j)
87,04.02.2018,15:00,54.0,(10.914141620098563+0j)
88,04.02.2018,16:00,54.0,(10.914141620098563+0j)
89,04.02.2018,17:00,54.0,(10.914141620098563+0j)
90,04.02.2018,18:00,55.0,(10.981101219190249+0j)
91,04.02.2018,19:00,54.0,(10.914141620098563+0j)
92,04.02.2018,20:00,47.0,(10.42055741620353+0j)
93,04.02.2018,21:00,54.0,(10.914141620098563+0j)
94,04.02.2018,22:00,54.0,(10.914141620098563+0j)
95,04.02.2018,23:00,49.0,(10.566318356153731+0j)
96,05.02.2018,00:00,13.0,(6.789525894016894+0j)
97,05.02.2018,01:00,0.0,0j
98,05.02.2018,02:00,0.0,0j
99,05.02.2018,03:00,1.0,(2.887519981512395+0j)
100,05.02.2018,04:00,0.0,0j
101,05.02.2018,05:00,0.0,0j
102,05.02.2018,06:00,3.0,(4.164524452590308+0j)
103,05.02.2018,07:00,17.0,(7.424626971120629+0j)
104,05.02.2018,08:00,31.0,(9.07079940331659+0j)
105,05.02.2018,09:00,34.0,(9.354443808532094+0j)
106,05.02.2018,10:00,34.0,(9.354443808532094+0j)
107,05.02.2018,11:00,37.0,(9.621857179459921+0j)
