,Tarih,Saat,Toplam (MWh),CNK WindSpeed(m/s)
0,01.02.2018,00:00,0.0,0j
1,01.02.2018,01:00,0.18,(1.661266550565902+0j)
2,01.02.2018,02:00,1.33,(3.235681004241423+0j)
3,01.02.2018,03:00,3.74,(4.567084213290882+0j)
4,01.02.2018,04:00,0.76,(2.685053950828665+0j)
5,01.02.2018,05:00,0.73,(2.649248959000378+0j)
6,01.02.2018,06:00,3.88,(4.6233743669756135+0j)
7,01.02.2018,07:00,1.91,(3.6505609854589953+0j)
8,01.02.2018,08:00,0.12,(1.4512500052942288+0j)
9,01.02.2018,09:00,2.14,(3.7915758064812577+0j)
10,01.02.2018,10:00,16.64,(7.511608181567679+0j)
11,01.02.2018,11:00,12.9,(6.900465503023545+0j)
12,01.02.2018,12:00,18.83,(7.8276594980210135+0j)
13,01.02.2018,13:00,6.7,(5.546769087655713+0j)
14,01.02.2018,14:00,14.67,(7.202642460759258+0j)
15,01.02.2018,15:00,25.21,(8.627257635256736+0j)
16,01.02.2018,16:00,46.12,(10.55143639189594+0j)
17,01.02.2018,17:00,47.67,(10.668340526186714+0j)
18,01.02.2018,18:00,30.3,(9.172675471626462+0j)
19,01.02.2018,19:00,50.31,(10.861753054872896+0j)
20,01.02.2018,20:00,26.47,(8.76865801882978+0j)
21,01.02.2018,21:00,19.03,(7.855275389133875+0j)
22,01.02.2018,22:00,14.41,(7.159837174687337+0j)
23,01.02.2018,23:00,9.18,(6.160690330804746+0j)
24,02.02.2018,00:00,16.2,(7.4448078050026805+0j)
25,02.02.2018,01:00,33.18,(9.454544556260995+0j)
26,02.02.2018,02:00,36.26,(9.738477956921686+0j)
27,02.02.2018,03:00,30.53,(9.195826182768538+0j)
28,02.02.2018,04:00,11.16,(6.575112941927492+0j)
29,02.02.2018,05:00,6.9,(5.601420578364789+0j)
30,02.02.2018,06:00,25.13,(8.618122213324046+0j)
31,02.02.2018,07:00,31.94,(9.33526798381575+0j)
32,02.02.2018,08:00,13.7,(7.040259620177267+0j)
33,02.02.2018,09:00,29.0,(9.039570959753302+0j)
34,02.02.2018,10:00,41.0,(10.145569678389561+0j)
35,02.02.2018,11:00,44.11,(10.395869957295243+0j)
36,02.02.2018,12:00,37.06,(9.809577228715773+0j)
37,02.02.2018,13:00,39.31,(10.004210785239353+0j)
38,02.02.2018,14:00,40.52,(10.10582169132743+0j)
39,02.02.2018,15:00,55.37,(11.214329872005198+0j)
40,02.02.2018,16:00,54.91,(11.183188198004588+0j)
41,02.02.2018,17:00,55.48,(11.221751221096524+0j)
42,02.02.2018,18:00,58.04,(11.39176332697997+0j)
43,02.02.2018,19:00,55.11,(11.196749344132671+0j)
44,02.02.2018,20:00,52.2,(10.996099306107778+0j)
45,02.02.2018,21:00,53.12,(11.060323790367619+0j)
46,02.02.2018,22:00,54.45,(11.15187211167377+0j)
47,02.02.2018,23:00,57.6,(11.362903369945036+0j)
48,03.02.2018,00:00,58.22,(11.403527634816964+0j)
49,03.02.2018,01:00,56.2,(11.270086711633624+0j)
50,03.02.2018,02:00,59.6,(11.49292498982244+0j)
51,03.02.2018,03:00,53.21,(11.06656668376679+0j)
52,03.02.2018,04:00,52.41,(11.010825303259658+0j)
53,03.02.2018,05:00,48.32,(10.716610857320237+0j)
54,03.02.2018,06:00,40.26,(10.084160341811714+0j)
55,03.02.2018,07:00,49.6,(10.810415284978747+0j)
56,03.02.2018,08:00,38.69,(9.951336124078123+0j)
57,03.02.2018,09:00,49.24,(10.784197521698573+0j)
58,03.02.2018,10:00,20.49,(8.051234420438512+0j)
59,03.02.2018,11:00,40.69,(10.119934826295873+0j)
60,03.02.2018,12:00,40.79,(10.128218315977993+0j)
61,03.02.2018,13:00,33.47,(9.482009580041074+0j)
62,03.02.2018,14:00,51.25,(10.928983632629047+0j)
63,03.02.2018,15:00,52.77,(11.035978618089224+0j)
