,Tarih,Saat,Toplam (MWh),EDIRNE WindSpeed(m/s)
0,01.02.2018,00:00,14.0,7.066192384761449
1,01.02.2018,01:00,16.11,7.404708373628095
2,01.02.2018,02:00,20.0,7.958284196144333
3,01.02.2018,03:00,19.0,7.823371960217621
4,01.02.2018,04:00,33.0,9.404031867070549
5,01.02.2018,05:00,50.0,10.801053409941506
6,01.02.2018,06:00,53.0,11.012892552443564
7,01.02.2018,07:00,60.5,11.509626673069297
8,01.02.2018,08:00,58.5,11.381375032526869
9,01.02.2018,09:00,60.0,11.477831962273402
10,01.02.2018,10:00,50.0,10.801053409941506
11,01.02.2018,11:00,52.0,10.943188833446229
12,01.02.2018,12:00,56.0,11.216881224980005
13,01.02.2018,13:00,53.0,11.012892552443564
14,01.02.2018,14:00,60.0,11.477831962273402
15,01.02.2018,15:00,60.0,11.477831962273402
16,01.02.2018,16:00,59.0,11.413708658049252
17,01.02.2018,17:00,60.0,11.477831962273402
18,01.02.2018,18:00,60.0,11.477831962273402
19,01.02.2018,19:00,60.0,11.477831962273402
20,01.02.2018,20:00,59.0,11.413708658049252
21,01.02.2018,21:00,60.5,11.509626673069297
22,01.02.2018,22:00,60.5,11.509626673069297
23,01.02.2018,23:00,59.0,11.413708658049252
24,02.02.2018,00:00,60.0,11.477831962273402
25,02.02.2018,01:00,60.0,11.477831962273402
26,02.02.2018,02:00,59.0,11.413708658049252
27,02.02.2018,03:00,57.0,11.28325484797889
28,02.02.2018,04:00,59.0,11.413708658049252
29,02.02.2018,05:00,60.0,11.477831962273402
30,02.02.2018,06:00,60.0,11.477831962273402
31,02.02.2018,07:00,59.0,11.413708658049252
32,02.02.2018,08:00,63.0,11.666026590587768
33,02.02.2018,09:00,61.0,11.5412466854484
34,02.02.2018,10:00,62.0,11.603972084031946
35,02.02.2018,11:00,60.0,11.477831962273402
36,02.02.2018,12:00,59.0,11.413708658049252
37,02.02.2018,13:00,60.0,11.477831962273402
38,02.02.2018,14:00,59.0,11.413708658049252
39,02.02.2018,15:00,60.0,11.477831962273402
40,02.02.2018,16:00,60.0,11.477831962273402
41,02.02.2018,17:00,61.0,11.5412466854484
42,02.02.2018,18:00,60.0,11.477831962273402
43,02.02.2018,19:00,60.0,11.477831962273402
44,02.02.2018,20:00,60.0,11.477831962273402
45,02.02.2018,21:00,59.0,11.413708658049252
46,02.02.2018,22:00,60.0,11.477831962273402
47,02.02.2018,23:00,59.0,11.413708658049252
48,03.02.2018,00:00,60.0,11.477831962273402
49,03.02.2018,01:00,60.0,11.477831962273402
50,03.02.2018,02:00,60.0,11.477831962273402
51,03.02.2018,03:00,60.0,11.477831962273402
52,03.02.2018,04:00,60.0,11.477831962273402
53,03.02.2018,05:00,59.0,11.413708658049252
54,03.02.2018,06:00,59.0,11.413708658049252
55,03.02.2018,07:00,60.0,11.477831962273402
56,03.02.2018,08:00,60.0,11.477831962273402
57,03.02.2018,09:00,60.0,11.477831962273402
58,03.02.2018,10:00,60.0,11.477831962273402
59,03.02.2018,11:00,55.0,11.149712661064806
60,03.02.2018,12:00,47.0,10.580561879873546
61,03.02.2018,13:00,56.0,11.216881224980005
62,03.02.2018,14:00,60.0,11.477831962273402
63,03.02.2018,15:00,42.0,10.191212930631682
64,03.02.2018,16:00,39.0,9.942546890252931
65,03.02.2018,17:00,40.0,10.026809779767945
66,03.02.2018,18:00,43.0,10.271462005818274
67,03.02.2018,19:00,40.0,10.026809779767945
68,03.02.2018,20:00,44.0,10.350476357117884
69,03.02.2018,21:00,36.0,9.680778403825864
70,03.02.2018,22:00,38.0,9.856831013835496
71,03.02.2018,23:00,40.0,10.026809779767945
72,04.02.2018,00:00,40.0,10.026809779767945
73,04.02.2018,01:00,38.0,9.856831013835496
74,04.02.2018,02:00,31.0,9.210078746600965
75,04.02.2018,03:00,30.0,9.109961265613512
76,04.02.2018,04:00,32.0,9.30806566210606
77,04.02.2018,05:00,31.0,9.210078746600965
78,04.02.2018,06:00,32.0,9.30806566210606
79,04.02.2018,07:00,30.0,9.109961265613512
80,04.02.2018,08:00,31.0,9.210078746600965
81,04.02.2018,09:00,34.0,9.49807842467922
82,04.02.2018,10:00,45.0,10.428302409856963
83,04.02.2018,11:00,53.0,11.012892552443564
84,04.02.2018,12:00,52.0,10.943188833446229
85,04.02.2018,13:00,46.0,10.50498385790218
86,04.02.2018,14:00,50.0,10.801053409941506
87,04.02.2018,15:00,59.0,11.413708658049252
88,04.02.2018,16:00,47.0,10.580561879873546
89,04.02.2018,17:00,59.0,11.413708658049252
90,04.02.2018,18:00,58.0,11.348856640923358
91,04.02.2018,19:00,52.0,10.943188833446229
92,04.02.2018,20:00,24.0,8.456938897023322
93,04.02.2018,21:00,13.0,6.893776982116712
94,04.02.2018,22:00,10.0,6.316494352410706
95,04.02.2018,23:00,15.0,7.230581048212219
96,05.02.2018,00:00,14.0,7.066192384761449
97,05.02.2018,01:00,11.0,6.520391519386014
98,05.02.2018,02:00,10.0,6.316494352410706
99,05.02.2018,03:00,5.0,5.013404889883972
100,05.02.2018,04:00,4.0,4.65403283105303
101,05.02.2018,05:00,6.0,5.327537667017208
102,05.02.2018,06:00,11.0,6.520391519386014
103,05.02.2018,07:00,9.0,6.098508245173948
104,05.02.2018,08:00,9.0,6.098508245173948
105,05.02.2018,09:00,8.0,5.863713930745543
106,05.02.2018,10:00,4.0,4.65403283105303
107,05.02.2018,11:00,2.0,3.693908305954059
108,05.02.2018,12:00,3.0,4.228469448511662
109,05.02.2018,13:00,3.0,4.228469448511662
110,05.02.2018,14:00,1.0,2.9318569653727713
111,05.02.2018,15:00,2.0,3.693908305954059
112,05.02.2018,16:00,1.0,2.9318569653727713
113,05.02.2018,17:00,3.0,4.228469448511662
114,05.02.2018,18:00,6.0,5.327537667017208
115,05.02.2018,19:00,8.0,5.863713930745543
116,05.02.2018,20:00,18.0,7.683638911052101
117,05.02.2018,21:00,24.0,8.456938897023322
118,05.02.2018,22:00,34.0,9.49807842467922
119,05.02.2018,23:00,47.0,10.580561879873546
120,06.02.2018,00:00,46.0,10.50498385790218
121,06.02.2018,01:00,42.0,10.191212930631682
122,06.02.2018,02:00,36.0,9.680778403825864
123,06.02.2018,03:00,36.0,9.680778403825864
124,06.02.2018,04:00,31.0,9.210078746600965
125,06.02.2018,05:00,21.0,8.088771063458324
126,06.02.2018,06:00,11.0,6.520391519386014
127,06.02.2018,07:00,16.0,7.387816611908117
128,06.02.2018,08:00,18.0,7.683638911052101
129,06.02.2018,09:00,22.0,8.215178528830453
130,06.02.2018,10:00,16.0,7.387816611908117
131,06.02.2018,11:00,12.0,6.7122768507828035
132,06.02.2018,12:00,6.0,5.327537667017208
133,06.02.2018,13:00,2.0,3.693908305954059
134,06.02.2018,14:00,2.0,3.693908305954059
135,06.02.2018,15:00,5.0,5.013404889883972
136,06.02.2018,16:00,5.0,5.013404889883972
137,06.02.2018,17:00,1.0,2.9318569653727713
138,06.02.2018,18:00,1.0,2.9318569653727713
139,06.02.2018,19:00,3.0,4.228469448511662
140,06.02.2018,20:00,9.0,6.098508245173948
141,06.02.2018,21:00,23.0,8.337811213471438
142,06.02.2018,22:00,22.0,8.215178528830453
143,06.02.2018,23:00,34.0,9.49807842467922
144,07.02.2018,00:00,35.0,9.590298545722627
145,07.02.2018,01:00,32.0,9.30806566210606
146,07.02.2018,02:00,25.0,8.572801772652927
147,07.02.2018,03:00,11.0,6.520391519386014
148,07.02.2018,04:00,10.0,6.316494352410706
149,07.02.2018,05:00,22.0,8.215178528830453
150,07.02.2018,06:00,23.0,8.337811213471438
151,07.02.2018,07:00,36.0,9.680778403825864
152,07.02.2018,08:00,42.0,10.191212930631682
153,07.02.2018,09:00,29.0,9.007593485219013
154,07.02.2018,10:00,12.0,6.7122768507828035
155,07.02.2018,11:00,14.0,7.066192384761449
156,07.02.2018,12:00,15.0,7.230581048212219
157,07.02.2018,13:00,7.0,5.608440612490003
158,07.02.2018,14:00,1.0,2.9318569653727713
159,07.02.2018,15:00,2.0,3.693908305954059
160,07.02.2018,16:00,0.0,0.0
161,07.02.2018,17:00,0.0,0.0
162,07.02.2018,18:00,1.0,2.9318569653727713
163,07.02.2018,19:00,3.0,4.228469448511662
164,07.02.2018,20:00,4.0,4.65403283105303
