,Tarih,Saat,Toplam (MWh),HATAY WindSpeed(m/s)
0,01.02.2018,00:00,0.0,0j
1,01.02.2018,01:00,0.0,0j
2,01.02.2018,02:00,0.0,0j
3,01.02.2018,03:00,0.0,0j
4,01.02.2018,04:00,0.0,0j
5,01.02.2018,05:00,0.85,(2.4474322321306814+0j)
6,01.02.2018,06:00,1.98,(3.2443380259053516+0j)
7,01.02.2018,07:00,2.02,(3.2660399287903537+0j)
8,01.02.2018,08:00,7.23,(4.995939062778261+0j)
9,01.02.2018,09:00,10.93,(5.733824826289922+0j)
10,01.02.2018,10:00,10.0,(5.566356703850576+0j)
11,01.02.2018,11:00,11.61,(5.8503489839072245+0j)
12,01.02.2018,12:00,10.75,(5.702174734560114+0j)
13,01.02.2018,13:00,10.12,(5.588533657994887+0j)
14,01.02.2018,14:00,11.55,(5.840253452228142+0j)
15,01.02.2018,15:00,19.07,(6.902736009564973+0j)
16,01.02.2018,16:00,29.95,(8.023613042228172+0j)
17,01.02.2018,17:00,35.71,(8.508133912385818+0j)
18,01.02.2018,18:00,36.81,(8.594612602503403+0j)
19,01.02.2018,19:00,36.56,(8.575111236249658+0j)
20,01.02.2018,20:00,34.41,(8.403610678733623+0j)
21,01.02.2018,21:00,39.47,(8.796840997576712+0j)
22,01.02.2018,22:00,41.59,(8.95160012164647+0j)
23,01.02.2018,23:00,32.95,(8.283035188715946+0j)
24,02.02.2018,00:00,28.02,(7.847423253124775+0j)
25,02.02.2018,01:00,18.57,(6.841872887056893+0j)
26,02.02.2018,02:00,16.51,(6.578901606111542+0j)
27,02.02.2018,03:00,19.18,(6.9159827440989465+0j)
28,02.02.2018,04:00,25.86,(7.6403609032742485+0j)
29,02.02.2018,05:00,32.79,(8.269606391934591+0j)
30,02.02.2018,06:00,35.11,(8.460213245774021+0j)
31,02.02.2018,07:00,48.26,(9.406617237011531+0j)
32,02.02.2018,08:00,31.89,(8.193243708049366+0j)
33,02.02.2018,09:00,32.82,(8.272127613551755+0j)
34,02.02.2018,10:00,19.46,(6.949474708312924+0j)
35,02.02.2018,11:00,32.61,(8.254446676194965+0j)
36,02.02.2018,12:00,38.33,(8.71132011675746+0j)
37,02.02.2018,13:00,34.76,(8.43200695300197+0j)
38,02.02.2018,14:00,23.13,(7.361442276406066+0j)
39,02.02.2018,15:00,13.72,(6.1852283411258515+0j)
40,02.02.2018,16:00,22.23,(7.264697263342671+0j)
41,02.02.2018,17:00,10.3,(5.621472730923652+0j)
42,02.02.2018,18:00,6.18,(4.741333728364038+0j)
43,02.02.2018,19:00,8.9,(5.354279468663567+0j)
44,02.02.2018,20:00,8.37,(5.245813576135598+0j)
45,02.02.2018,21:00,6.0,(4.694847070748951+0j)
46,02.02.2018,22:00,6.99,(4.940035751627411+0j)
47,02.02.2018,23:00,1.79,(3.1370543552875487+0j)
48,03.02.2018,00:00,2.63,(3.5663416827409784+0j)
49,03.02.2018,01:00,3.07,(3.7550624020355436+0j)
50,03.02.2018,02:00,1.11,(2.6751328822046223+0j)
51,03.02.2018,03:00,0.42,(1.9348804217526918+0j)
52,03.02.2018,04:00,2.5,(3.506584991202392+0j)
53,03.02.2018,05:00,0.0,0j
54,03.02.2018,06:00,0.0,0j
55,03.02.2018,07:00,0.0,0j
56,03.02.2018,08:00,0.0,0j
57,03.02.2018,09:00,0.0,0j
58,03.02.2018,10:00,0.0,0j
59,03.02.2018,11:00,0.0,0j
60,03.02.2018,12:00,2.95,(3.705484822196528+0j)
61,03.02.2018,13:00,4.47,(4.256051499751992+0j)
62,03.02.2018,14:00,32.75,(8.266242369843905+0j)
