,Tarih,Saat,Toplam (MWh),ISPARTA WindSpeed(m/s)
0,01.02.2018,00:00,0.0,0j
1,01.02.2018,01:00,0.09,(1.0655643665341983+0j)
2,01.02.2018,02:00,0.83,(2.2345575790241585+0j)
3,01.02.2018,03:00,1.4,(2.6599585204473124+0j)
4,01.02.2018,04:00,0.09,(1.0655643665341983+0j)
5,01.02.2018,05:00,1.27,(2.5749378986737725+0j)
6,01.02.2018,06:00,0.0,0j
7,01.02.2018,07:00,0.0,0j
8,01.02.2018,08:00,0.77,(2.179360594717906+0j)
9,01.02.2018,09:00,1.2,(2.526732507219123+0j)
10,01.02.2018,10:00,3.56,(3.630631614417117+0j)
11,01.02.2018,11:00,5.04,(4.076702607988751+0j)
12,01.02.2018,12:00,10.05,(5.13122280751509+0j)
13,01.02.2018,13:00,11.01,(5.289662443647555+0j)
14,01.02.2018,14:00,16.56,(6.060646633786114+0j)
15,01.02.2018,15:00,21.2,(6.580781521447427+0j)
16,01.02.2018,16:00,22.37,(6.699681860857883+0j)
17,01.02.2018,17:00,31.85,(7.537060440396584+0j)
18,01.02.2018,18:00,30.49,(7.428218338060589+0j)
19,01.02.2018,19:00,22.67,(6.729498372333775+0j)
20,01.02.2018,20:00,28.13,(7.231395196681937+0j)
21,01.02.2018,21:00,25.21,(6.971985377804647+0j)
22,01.02.2018,22:00,37.28,(7.943114451005486+0j)
23,01.02.2018,23:00,44.51,(8.426580690220142+0j)
24,02.02.2018,00:00,49.05,(8.703859186710234+0j)
25,02.02.2018,01:00,48.68,(8.681918584728722+0j)
26,02.02.2018,02:00,44.48,(8.424687076518133+0j)
27,02.02.2018,03:00,44.56,(8.429734823128193+0j)
28,02.02.2018,04:00,40.44,(8.161485900370373+0j)
29,02.02.2018,05:00,44.14,(8.403166369660324+0j)
30,02.02.2018,06:00,52.15,(8.883490112402807+0j)
31,02.02.2018,07:00,41.61,(8.239447502284625+0j)
32,02.02.2018,08:00,47.93,(8.637100944725734+0j)
33,02.02.2018,09:00,48.01,(8.641903670922787+0j)
34,02.02.2018,10:00,47.66,(8.62085217965768+0j)
35,02.02.2018,11:00,46.27,(8.536215140825721+0j)
36,02.02.2018,12:00,48.16,(8.650894421966761+0j)
37,02.02.2018,13:00,52.8,(8.92024590067528+0j)
38,02.02.2018,14:00,53.6,(8.965072009709056+0j)
39,02.02.2018,15:00,34.72,(7.756969631948474+0j)
40,02.02.2018,16:00,24.7,(6.924650151739197+0j)
41,02.02.2018,17:00,19.94,(6.44773584990496+0j)
42,02.02.2018,18:00,32.3,(7.572390927543823+0j)
43,02.02.2018,19:00,37.81,(7.9805791920273+0j)
44,02.02.2018,20:00,19.4,(6.388998149646029+0j)
45,02.02.2018,21:00,31.2,(7.485435118553751+0j)
46,02.02.2018,22:00,39.35,(8.087490147616197+0j)
47,02.02.2018,23:00,24.88,(6.941430468123145+0j)
48,03.02.2018,00:00,30.58,(7.435519999057197+0j)
49,03.02.2018,01:00,31.62,(7.518874009027609+0j)
50,03.02.2018,02:00,19.93,(6.446657813461209+0j)
51,03.02.2018,03:00,17.38,(6.159074297834452+0j)
52,03.02.2018,04:00,17.46,(6.168509891748252+0j)
53,03.02.2018,05:00,12.68,(5.544621911440861+0j)
54,03.02.2018,06:00,6.09,(4.342147945022992+0j)
55,03.02.2018,07:00,11.19,(5.318333260794811+0j)
56,03.02.2018,08:00,22.23,(6.685676213611958+0j)
57,03.02.2018,09:00,24.75,(6.929319505919972+0j)
58,03.02.2018,10:00,18.14,(6.247572145402301+0j)
59,03.02.2018,11:00,11.02,(5.2912634311677245+0j)
60,03.02.2018,12:00,18.8,(6.322441245479472+0j)
61,03.02.2018,13:00,37.23,(7.939561755992256+0j)
62,03.02.2018,14:00,40.37,(8.156774113648677+0j)
63,03.02.2018,15:00,27.7,(7.194359055067235+0j)
64,03.02.2018,16:00,35.6,(7.821958696826698+0j)
65,03.02.2018,17:00,33.67,(7.677972598243593+0j)
66,03.02.2018,18:00,33.36,(7.654336187453948+0j)
67,03.02.2018,19:00,36.37,(7.877951196721643+0j)
68,03.02.2018,20:00,48.73,(8.684890013047772+0j)
69,03.02.2018,21:00,42.17,(8.276245905828882+0j)
70,03.02.2018,22:00,44.7,(8.438553861656896+0j)
71,03.02.2018,23:00,45.9,(8.513400819367678+0j)
72,04.02.2018,00:00,51.54,(8.848717368376988+0j)
73,04.02.2018,01:00,46.45,(8.54727004004326+0j)
74,04.02.2018,02:00,55.07,(9.046290803577298+0j)
75,04.02.2018,03:00,50.08,(8.7643617022328+0j)
76,04.02.2018,04:00,53.33,(8.94999337013087+0j)
77,04.02.2018,05:00,52.76,(8.917992744251906+0j)
78,04.02.2018,06:00,56.61,(9.129841486840702+0j)
79,04.02.2018,07:00,59.1,(9.261784661561588+0j)
80,04.02.2018,08:00,59.57,(9.28627169002289+0j)
81,04.02.2018,09:00,58.48,(9.229283225545684+0j)
82,04.02.2018,10:00,55.81,(9.086630325960732+0j)
83,04.02.2018,11:00,57.68,(9.18700465184831+0j)
84,04.02.2018,12:00,57.47,(9.175841816247159+0j)
85,04.02.2018,13:00,59.04,(9.258649324605166+0j)
86,04.02.2018,14:00,59.12,(9.262829302294739+0j)
87,04.02.2018,15:00,57.92,(9.199729051284521+0j)
88,04.02.2018,16:00,57.52,(9.178502097567568+0j)
89,04.02.2018,17:00,59.6,(9.287830312356629+0j)
90,04.02.2018,18:00,57.35,(9.169450839555656+0j)
91,04.02.2018,19:00,56.25,(9.110447182046352+0j)
92,04.02.2018,20:00,55.68,(9.079569582278369+0j)
93,04.02.2018,21:00,54.97,(9.04081185438192+0j)
94,04.02.2018,22:00,56.69,(9.134140159237074+0j)
95,04.02.2018,23:00,48.61,(8.677755164888161+0j)
96,05.02.2018,00:00,35.47,(7.812425973117458+0j)
97,05.02.2018,01:00,50.04,(8.762027651069905+0j)
98,05.02.2018,02:00,48.0,(8.641303622061608+0j)
99,05.02.2018,03:00,42.74,(8.313368374340277+0j)
100,05.02.2018,04:00,42.4,(8.291265163630822+0j)
