,Tarih,Saat,Toplam (MWh),ISTANBUL WindSpeed(m/s)
0,01.02.2018,00:00,,
1,01.02.2018,01:00,,
2,01.02.2018,02:00,,
3,01.02.2018,03:00,,
4,01.02.2018,04:00,,
5,01.02.2018,05:00,,
6,01.02.2018,06:00,,
7,01.02.2018,07:00,,
8,01.02.2018,08:00,,
9,01.02.2018,09:00,,
10,01.02.2018,10:00,,
11,01.02.2018,11:00,,
12,01.02.2018,12:00,,
13,01.02.2018,13:00,,
14,01.02.2018,14:00,,
15,01.02.2018,15:00,,
16,01.02.2018,16:00,,
17,01.02.2018,17:00,,
18,01.02.2018,18:00,,
19,01.02.2018,19:00,,
20,01.02.2018,20:00,,
21,01.02.2018,21:00,,
22,01.02.2018,22:00,,
23,01.02.2018,23:00,,
24,02.02.2018,00:00,,
25,02.02.2018,01:00,,
26,02.02.2018,02:00,,
27,02.02.2018,03:00,,
28,02.02.2018,04:00,,
29,02.02.2018,05:00,,
30,02.02.2018,06:00,,
31,02.02.2018,07:00,,
32,02.02.2018,08:00,,
33,02.02.2018,09:00,,
34,02.02.2018,10:00,,
35,02.02.2018,11:00,,
36,02.02.2018,12:00,,
37,02.02.2018,13:00,,
38,02.02.2018,14:00,,
39,02.02.2018,15:00,,
40,02.02.2018,16:00,,
41,02.02.2018,17:00,,
42,02.02.2018,18:00,,
43,02.02.2018,19:00,,
44,02.02.2018,20:00,,
45,02.02.2018,21:00,,
46,02.02.2018,22:00,,
47,02.02.2018,23:00,,
48,03.02.2018,00:00,,
49,03.02.2018,01:00,,
50,03.02.2018,02:00,,
51,03.02.2018,03:00,,
52,03.02.2018,04:00,,
53,03.02.2018,05:00,,
54,03.02.2018,06:00,,
55,03.02.2018,07:00,,
56,03.02.2018,08:00,,
57,03.02.2018,09:00,,
58,03.02.2018,10:00,,
59,03.02.2018,11:00,,
60,03.02.2018,12:00,,
61,03.02.2018,13:00,,
62,03.02.2018,14:00,,
63,03.02.2018,15:00,,
64,03.02.2018,16:00,,
65,03.02.2018,17:00,,
66,03.02.2018,18:00,,
67,03.02.2018,19:00,,
68,03.02.2018,20:00,,
69,03.02.2018,21:00,,
70,03.02.2018,22:00,,
71,03.02.2018,23:00,,
72,04.02.2018,00:00,,
73,04.02.2018,01:00,,
74,04.02.2018,02:00,,
75,04.02.2018,03:00,,
76,04.02.2018,04:00,,
77,04.02.2018,05:00,,
78,04.02.2018,06:00,,
79,04.02.2018,07:00,,
80,04.02.2018,08:00,,
81,04.02.2018,09:00,,
82,04.02.2018,10:00,,
83,04.02.2018,11:00,,
