Tarih,Saat,Toplam (MWh),Do�al Gaz,Barajl�,Linyit,Akarsu,�thal K�m�r,R�zgar,G�ne�,Fuel Oil,Jeotermal,Asfaltit K�m�r,Ta� K�m�r,Biyok�tle,Nafta,LNG,Uluslararas�
01.02.2018,00:00,1.17,"0,00","0,00","0,00","0,00","0,00","1,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,01:00,1.82,"0,00","0,00","0,00","0,00","0,00","1,82","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,02:00,3.03,"0,00","0,00","0,00","0,00","0,00","3,03","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,03:00,5.00,"0,00","0,00","0,00","0,00","0,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,04:00,5.00,"0,00","0,00","0,00","0,00","0,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,05:00,7.86,"0,00","0,00","0,00","0,00","0,00","7,86","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,06:00,8.07,"0,00","0,00","0,00","0,00","0,00","8,07","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,07:00,12.31,"0,00","0,00","0,00","0,00","0,00","12,31","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,08:00,9.54,"0,00","0,00","0,00","0,00","0,00","9,54","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,09:00,7.93,"0,00","0,00","0,00","0,00","0,00","7,93","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,10:00,7.86,"0,00","0,00","0,00","0,00","0,00","7,86","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,11:00,11.66,"0,00","0,00","0,00","0,00","0,00","11,66","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,12:00,18.73,"0,00","0,00","0,00","0,00","0,00","18,73","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,13:00,18.25,"0,00","0,00","0,00","0,00","0,00","18,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,14:00,12.38,"0,00","0,00","0,00","0,00","0,00","12,38","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,15:00,12.35,"0,00","0,00","0,00","0,00","0,00","12,35","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,16:00,8.38,"0,00","0,00","0,00","0,00","0,00","8,38","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,17:00,6.65,"0,00","0,00","0,00","0,00","0,00","6,65","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,18:00,4.79,"0,00","0,00","0,00","0,00","0,00","4,79","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,19:00,6.59,"0,00","0,00","0,00","0,00","0,00","6,59","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,20:00,15.66,"0,00","0,00","0,00","0,00","0,00","15,66","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,21:00,14.00,"0,00","0,00","0,00","0,00","0,00","14,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,22:00,14.35,"0,00","0,00","0,00","0,00","0,00","14,35","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01.02.2018,23:00,12.14,"0,00","0,00","0,00","0,00","0,00","12,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,00:00,14.59,"0,00","0,00","0,00","0,00","0,00","14,59","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,01:00,16.11,"0,00","0,00","0,00","0,00","0,00","16,11","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,02:00,10.97,"0,00","0,00","0,00","0,00","0,00","10,97","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,03:00,16.07,"0,00","0,00","0,00","0,00","0,00","16,07","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,04:00,18.59,"0,00","0,00","0,00","0,00","0,00","18,59","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,05:00,21.66,"0,00","0,00","0,00","0,00","0,00","21,66","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,06:00,23.53,"0,00","0,00","0,00","0,00","0,00","23,53","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,07:00,23.87,"0,00","0,00","0,00","0,00","0,00","23,87","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,08:00,23.14,"0,00","0,00","0,00","0,00","0,00","23,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,09:00,24.00,"0,00","0,00","0,00","0,00","0,00","24,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,10:00,23.84,"0,00","0,00","0,00","0,00","0,00","23,84","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.02.2018,11:00,21.45,"0,00","0,00","0,00","0,00","0,00","21,45","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
