,Tarih,Saat,Toplam (MWh),KAYSERI WindSpeed(m/s)
0,01.02.2018,00:00,0.0,0.0
1,01.02.2018,01:00,0.0,0.0
2,01.02.2018,02:00,0.0,0.0
3,01.02.2018,03:00,0.0,0.0
4,01.02.2018,04:00,0.0,0.0
5,01.02.2018,05:00,0.0,0.0
6,01.02.2018,06:00,0.0,0.0
7,01.02.2018,07:00,0.0,0.0
8,01.02.2018,08:00,0.0,0.0
9,01.02.2018,09:00,0.0,0.0
10,01.02.2018,10:00,0.0,0.0
11,01.02.2018,11:00,0.05,0.9967605683687979
12,01.02.2018,12:00,2.8,3.813468745981207
13,01.02.2018,13:00,14.7,6.627859485236195
14,01.02.2018,14:00,23.96,7.800033217327325
15,01.02.2018,15:00,25.7,7.984453979369961
16,01.02.2018,16:00,20.37,7.389207413437806
17,01.02.2018,17:00,31.55,8.549367163389466
18,01.02.2018,18:00,26.43,8.059347872352717
19,01.02.2018,19:00,23.26,7.723320979792521
20,01.02.2018,20:00,28.03,8.218802547430712
21,01.02.2018,21:00,33.84,8.751401971202514
22,01.02.2018,22:00,40.86,9.31894971694332
23,01.02.2018,23:00,38.14,9.10739998252408
24,02.02.2018,00:00,42.34,9.430132585091023
25,02.02.2018,01:00,39.74,9.23301345698269
26,02.02.2018,02:00,33.01,8.67925981144929
27,02.02.2018,03:00,18.94,7.212085043064047
28,02.02.2018,04:00,24.3,7.836755044917886
29,02.02.2018,05:00,26.74,8.090735096646716
30,02.02.2018,06:00,25.72,7.986524636615117
31,02.02.2018,07:00,21.15,7.482343435227666
32,02.02.2018,08:00,23.54,7.754188134465206
33,02.02.2018,09:00,12.0,6.194333677377145
34,02.02.2018,10:00,13.0,6.361828612547897
35,02.02.2018,11:00,27.0,8.11687333892225
36,02.02.2018,12:00,37.9,9.088256678611828
37,02.02.2018,13:00,44.2,9.566247306670466
38,02.02.2018,14:00,42.34,9.430132585091023
39,02.02.2018,15:00,34.85,8.837615616601102
40,02.02.2018,16:00,37.56,9.060998158586322
41,02.02.2018,17:00,34.0,8.765172886082363
42,02.02.2018,18:00,35.7,8.90888978826645
43,02.02.2018,19:00,35.95,8.929637161257414
44,02.02.2018,20:00,34.88,8.840150790468389
45,02.02.2018,21:00,34.91,8.842684511097374
46,02.02.2018,22:00,33.49,8.721126047788097
47,02.02.2018,23:00,30.0,8.407004228469816
48,03.02.2018,00:00,29.55,8.364757263053013
49,03.02.2018,01:00,19.46,7.277492942168079
50,03.02.2018,02:00,23.57,7.757480783750289
51,03.02.2018,03:00,37.62,9.0658204043921
52,03.02.2018,04:00,30.61,8.463603136059595
53,03.02.2018,05:00,28.62,8.276068134342154
54,03.02.2018,06:00,16.54,6.89359898542897
55,03.02.2018,07:00,5.36,4.73502682996847
56,03.02.2018,08:00,2.84,3.8315423275748013
57,03.02.2018,09:00,0.6,2.282012038054634
58,03.02.2018,10:00,0.73,2.4361749186513992
59,03.02.2018,11:00,3.92,4.266085317102187
60,03.02.2018,12:00,10.68,5.95833062726446
61,03.02.2018,13:00,10.43,5.9114717307955615
62,03.02.2018,14:00,12.11,6.213203267890284
63,03.02.2018,15:00,19.89,7.330705543711001
64,03.02.2018,16:00,21.77,7.554753942138774
65,03.02.2018,17:00,24.1,7.815195774932434
66,03.02.2018,18:00,23.1,7.705571256825585
67,03.02.2018,19:00,22.06,7.588151916605177
68,03.02.2018,20:00,23.72,7.773902256937926
69,03.02.2018,21:00,23.32,7.729956138536823
70,03.02.2018,22:00,22.5,7.638270253789688
71,03.02.2018,23:00,22.59,7.6484410650766055
72,04.02.2018,00:00,21.64,7.539686120420038
73,04.02.2018,01:00,22.47,7.634873957097483
74,04.02.2018,02:00,20.33,7.384367584043682
75,04.02.2018,03:00,12.95,6.3536619429637335
76,04.02.2018,04:00,11.93,6.182265643542343
77,04.02.2018,05:00,17.14,6.975967578085009
78,04.02.2018,06:00,18.74,7.1866094332383215
79,04.02.2018,07:00,26.24,8.03998906081178
80,04.02.2018,08:00,32.41,8.626352310815022
81,04.02.2018,09:00,30.89,8.489331324694465
82,04.02.2018,10:00,30.0,8.407004228469816
83,04.02.2018,11:00,17.6,7.0378240265188925
84,04.02.2018,12:00,19.5,7.28247582146688
85,04.02.2018,13:00,25.72,7.986524636615117
86,04.02.2018,14:00,26.88,8.10483048245399
87,04.02.2018,15:00,33.82,8.749677556976357
88,04.02.2018,16:00,20.25,7.374668846782894
89,04.02.2018,17:00,36.9,9.007611284847398
90,04.02.2018,18:00,42.1,9.412280895292959
91,04.02.2018,19:00,42.74,9.459736083578045
92,04.02.2018,20:00,41.22,9.34623815884977
93,04.02.2018,21:00,44.34,9.576336771907759
