,Tarih,Saat,Toplam (MWh),KIRLARELI WindSpeed(m/s)
0,01.02.2018,00:00,2.46,(3.7374604741938624+0j)
1,01.02.2018,01:00,6.67,(5.211629304086482+0j)
2,01.02.2018,02:00,11.41,(6.232947289887377+0j)
3,01.02.2018,03:00,22.02,(7.760160034443555+0j)
4,01.02.2018,04:00,35.37,(9.088173149011844+0j)
5,01.02.2018,05:00,43.0,(9.69961265053496+0j)
6,01.02.2018,06:00,51.45,(10.29737903918585+0j)
7,01.02.2018,07:00,55.35,(10.551254888205593+0j)
8,01.02.2018,08:00,59.2,(10.790431406198712+0j)
9,01.02.2018,09:00,58.52,(10.748957487136783+0j)
10,01.02.2018,10:00,59.28,(10.795289773089385+0j)
11,01.02.2018,11:00,59.0,(10.778266309744806+0j)
12,01.02.2018,12:00,57.7,(10.698515259560498+0j)
13,01.02.2018,13:00,55.05,(10.53215755254466+0j)
14,01.02.2018,14:00,56.35,(10.614418648854851+0j)
15,01.02.2018,15:00,53.7,(10.44535010878668+0j)
16,01.02.2018,16:00,56.21,(10.605620950129488+0j)
17,01.02.2018,17:00,59.29,(10.795896761551338+0j)
18,01.02.2018,18:00,59.4,(10.802569134548822+0j)
19,01.02.2018,19:00,59.2,(10.790431406198712+0j)
20,01.02.2018,20:00,59.3,(10.79650368176633+0j)
21,01.02.2018,21:00,58.88,(10.770954050845155+0j)
22,01.02.2018,22:00,59.57,(10.812864800100385+0j)
23,01.02.2018,23:00,59.33,(10.798324033121308+0j)
24,02.02.2018,00:00,59.31,(10.797110533753544+0j)
25,02.02.2018,01:00,59.3,(10.79650368176633+0j)
26,02.02.2018,02:00,59.3,(10.79650368176633+0j)
27,02.02.2018,03:00,59.37,(10.800750213966444+0j)
28,02.02.2018,04:00,59.32,(10.797717317532149+0j)
29,02.02.2018,05:00,59.37,(10.800750213966444+0j)
30,02.02.2018,06:00,59.29,(10.795896761551338+0j)
31,02.02.2018,07:00,59.36,(10.80014377094361+0j)
32,02.02.2018,08:00,59.9,(10.832794723347211+0j)
33,02.02.2018,09:00,59.3,(10.79650368176633+0j)
34,02.02.2018,10:00,58.1,(10.723180511724458+0j)
35,02.02.2018,11:00,58.95,(10.775220741255533+0j)
36,02.02.2018,12:00,55.4,(10.554431063860472+0j)
37,02.02.2018,13:00,53.7,(10.44535010878668+0j)
38,02.02.2018,14:00,59.05,(10.781310158059613+0j)
39,02.02.2018,15:00,59.15,(10.787392703867885+0j)
40,02.02.2018,16:00,58.43,(10.743444257846576+0j)
41,02.02.2018,17:00,57.97,(10.715176756861608+0j)
42,02.02.2018,18:00,59.2,(10.790431406198712+0j)
43,02.02.2018,19:00,58.45,(10.744669908904823+0j)
44,02.02.2018,20:00,59.25,(10.79346839802983+0j)
