,Tarih,Saat,Toplam (MWh),KOC WindSpeed(m/s)
0,01.02.2018,00:00,0.9,4.1715434581273305
1,01.02.2018,01:00,0.46,3.335302377669977
2,01.02.2018,02:00,1.61,5.063971208951664
3,01.02.2018,03:00,2.05,5.488671298551592
4,01.02.2018,04:00,3.35,6.464935626888931
5,01.02.2018,05:00,4.6,7.185691144198022
6,01.02.2018,06:00,7.2,8.343086916254661
7,01.02.2018,07:00,7.9,8.605147117084625
8,01.02.2018,08:00,7.22,8.350804854898334
9,01.02.2018,09:00,5.66,7.699953093818503
10,01.02.2018,10:00,2.48,5.848347404924106
11,01.02.2018,11:00,0.87,4.124668215502584
12,01.02.2018,12:00,0.87,4.124668215502584
13,01.02.2018,13:00,0.65,3.7427175592768753
14,01.02.2018,14:00,0.66,3.7618133875767774
15,01.02.2018,15:00,1.07,4.419202084312958
16,01.02.2018,16:00,1.14,4.513542674307182
17,01.02.2018,17:00,0.11,2.0702056882827273
18,01.02.2018,18:00,1.09,4.446566262000888
19,01.02.2018,19:00,0.44,3.2862466873705523
20,01.02.2018,20:00,0.02,1.1728053391034703
21,01.02.2018,21:00,0.96,4.262257466136793
22,01.02.2018,22:00,2.81,6.097025936167052
23,01.02.2018,23:00,3.71,6.6886823633936725
24,02.02.2018,00:00,3.3,6.432610408642672
25,02.02.2018,01:00,3.3,6.432610408642672
26,02.02.2018,02:00,3.01,6.238374381428158
27,02.02.2018,03:00,0.81,4.027580926242997
28,02.02.2018,04:00,0.66,3.7618133875767774
29,02.02.2018,05:00,1.13,4.500306402782841
30,02.02.2018,06:00,3.05,6.265886862546963
31,02.02.2018,07:00,7.51,8.461147152513846
32,02.02.2018,08:00,6.47,8.051016117398344
33,02.02.2018,09:00,4.74,7.257862168276349
34,02.02.2018,10:00,2.45,5.8246696258034385
35,02.02.2018,11:00,4.86,7.318600240374093
36,02.02.2018,12:00,5.1,7.437140644269604
37,02.02.2018,13:00,4.04,6.8813934679405495
38,02.02.2018,14:00,1.29,4.703406401683428
39,02.02.2018,15:00,0.94,4.232450494682509
40,02.02.2018,16:00,0.85,4.092816224529257
41,02.02.2018,17:00,1.12,4.486991808985948
42,02.02.2018,18:00,0.35,3.0448924029571267
43,02.02.2018,19:00,1.15,4.526701765309132
44,02.02.2018,20:00,0.74,3.908047578687626
45,02.02.2018,21:00,1.03,4.363433324120932
46,02.02.2018,22:00,1.55,5.000266695114651
47,02.02.2018,23:00,3.0,6.231458217907103
48,03.02.2018,00:00,2.21,5.62790416900611
49,03.02.2018,01:00,2.27,5.678381340686244
50,03.02.2018,02:00,2.41,5.792796650599477
51,03.02.2018,03:00,1.15,4.526701765309132
52,03.02.2018,04:00,3.12,6.313460492985105
53,03.02.2018,05:00,4.5,7.133238973914264
54,03.02.2018,06:00,6.28,7.971422297004724
55,03.02.2018,07:00,6.78,8.177599438551029
56,03.02.2018,08:00,2.31,5.711540523484935
