,Tarih,Saat,Toplam (MWh),KONYA WindSpeed(m/s)
0,27.09.2018,00:00,10.05,(4.978357867390267+0j)
1,27.09.2018,01:00,10.06,(4.980008516671498+0j)
2,27.09.2018,02:00,8.62,(4.730058520115589+0j)
3,27.09.2018,03:00,6.12,(4.219696665119534+0j)
4,27.09.2018,04:00,5.85,(4.156706691584156+0j)
5,27.09.2018,05:00,7.66,(4.547510199266891+0j)
6,27.09.2018,06:00,8.18,(4.648168463498584+0j)
7,27.09.2018,07:00,5.23,(4.004343468076435+0j)
8,27.09.2018,08:00,3.23,(3.410082866629139+0j)
9,27.09.2018,09:00,2.28,(3.036283882636265+0j)
10,27.09.2018,10:00,1.42,(2.5929464040237886+0j)
11,27.09.2018,11:00,1.13,(2.4028329183462858+0j)
12,27.09.2018,12:00,0.48,(1.8062499068232039+0j)
13,27.09.2018,13:00,0.41,(1.713794366129565+0j)
14,27.09.2018,14:00,1.43,(2.5990189002154365+0j)
15,27.09.2018,15:00,0.79,(2.132585518011703+0j)
16,27.09.2018,16:00,0.65,(1.998336146610393+0j)
17,27.09.2018,17:00,2.37,(3.075720546996181+0j)
18,27.09.2018,18:00,4.45,(3.7944668432364113+0j)
19,27.09.2018,19:00,2.38,(3.0800403849020155+0j)
20,27.09.2018,20:00,1.42,(2.5929464040237886+0j)
21,27.09.2018,21:00,3.62,(3.542150002997079+0j)
22,27.09.2018,22:00,4.26,(3.739675837033449+0j)
23,27.09.2018,23:00,4.95,(3.9315683014825975+0j)
24,28.09.2018,00:00,5.11,(3.9734802490786314+0j)
25,28.09.2018,01:00,5.1,(3.9708865928266044+0j)
26,28.09.2018,02:00,5.64,(4.106360999893208+0j)
27,28.09.2018,03:00,2.08,(2.944773323593737+0j)
28,28.09.2018,04:00,0.82,(2.15924559707788+0j)
29,28.09.2018,05:00,0.27,(1.4910264464132295+0j)
30,28.09.2018,06:00,0.38,(1.6709314145760432+0j)
31,28.09.2018,07:00,0.2,(1.349089484317657+0j)
32,28.09.2018,08:00,0.0,0j
33,28.09.2018,09:00,0.0,0j
34,28.09.2018,10:00,0.0,0j
35,28.09.2018,11:00,0.0,0j
36,28.09.2018,12:00,0.01,(0.4970088154710765+0j)
37,28.09.2018,13:00,0.02,(0.6261918685953259+0j)
38,28.09.2018,14:00,0.0,0j
39,28.09.2018,15:00,0.0,0j
40,28.09.2018,16:00,0.0,0j
41,28.09.2018,17:00,0.0,0j
42,28.09.2018,18:00,0.48,(1.8062499068232039+0j)
43,28.09.2018,19:00,0.26,(1.4723866617968684+0j)
44,28.09.2018,20:00,0.0,0j
45,28.09.2018,21:00,0.45,(1.767807328021609+0j)
46,28.09.2018,22:00,0.41,(1.713794366129565+0j)
47,28.09.2018,23:00,0.59,(1.9348535372863154+0j)
48,29.09.2018,00:00,0.47,(1.7936183753308608+0j)
49,29.09.2018,01:00,1.44,(2.605063151983562+0j)
50,29.09.2018,02:00,2.43,(3.1014599909267253+0j)
51,29.09.2018,03:00,1.94,(2.8771643373277374+0j)
52,29.09.2018,04:00,1.28,(2.5047674743813038+0j)
53,29.09.2018,05:00,0.39,(1.6854619823044308+0j)
54,29.09.2018,06:00,0.55,(1.8901008978158347+0j)
55,29.09.2018,07:00,0.77,(2.1144349738046944+0j)
56,29.09.2018,08:00,0.28,(1.509211487984457+0j)
57,29.09.2018,09:00,0.13,(1.1686340679201472+0j)
58,29.09.2018,10:00,0.0,0j
59,29.09.2018,11:00,0.0,0j
60,29.09.2018,12:00,0.25,(1.4532625924855926+0j)
61,29.09.2018,13:00,0.0,0j
62,29.09.2018,14:00,0.01,(0.4970088154710765+0j)
63,29.09.2018,15:00,1.92,(2.867243002208616+0j)
64,29.09.2018,16:00,5.21,(3.999232622103763+0j)
65,29.09.2018,17:00,10.0,(4.970088154710765+0j)
66,29.09.2018,18:00,3.35,(3.4518005551072237+0j)
67,29.09.2018,19:00,3.0,(3.3271407755764733+0j)
68,29.09.2018,20:00,9.6,(4.902916567053813+0j)
69,29.09.2018,21:00,3.49,(3.4992306325413836+0j)
70,29.09.2018,22:00,6.22,(4.2425557062730626+0j)
71,29.09.2018,23:00,10.02,(4.9733993403369325+0j)
72,30.09.2018,00:00,11.39,(5.190453841892064+0j)
73,30.09.2018,01:00,10.08,(4.983306536520684+0j)
74,30.09.2018,02:00,7.55,(4.525637271606037+0j)
75,30.09.2018,03:00,8.55,(4.7172199887155974+0j)
76,30.09.2018,04:00,7.13,(4.440112102612891+0j)
77,30.09.2018,05:00,2.51,(3.1351284016203222+0j)
78,30.09.2018,06:00,1.71,(2.7586469844113406+0j)
79,30.09.2018,07:00,1.68,(2.742419273755392+0j)
80,30.09.2018,08:00,1.46,(2.6170682208756513+0j)
81,30.09.2018,09:00,1.47,(2.623029672501349+0j)
82,30.09.2018,10:00,2.95,(3.308553009101923+0j)
83,30.09.2018,11:00,2.55,(3.151694777349686+0j)
84,30.09.2018,12:00,1.74,(2.7746859900632117+0j)
