,Tarih,Saat,Toplam (MWh),MERSIN WindSpeed(m/s)
0,01.02.2018,00:00,3.8,5.281608332681057
1,01.02.2018,01:00,5.0,5.787553181302037
2,01.02.2018,02:00,4.0,5.37268844405433
3,01.02.2018,03:00,5.0,5.787553181302037
4,01.02.2018,04:00,6.0,6.150192982710692
5,01.02.2018,05:00,5.0,5.787553181302037
6,01.02.2018,06:00,5.0,5.787553181302037
7,01.02.2018,07:00,3.0,4.881411405281195
8,01.02.2018,08:00,5.0,5.787553181302037
9,01.02.2018,09:00,2.0,4.264305643994616
10,01.02.2018,10:00,1.0,3.3845816325954923
11,01.02.2018,11:00,0.0,0.0
12,01.02.2018,12:00,0.0,0.0
13,01.02.2018,13:00,0.0,0.0
14,01.02.2018,14:00,0.0,0.0
15,01.02.2018,15:00,0.0,0.0
16,01.02.2018,16:00,0.0,0.0
17,01.02.2018,17:00,0.0,0.0
18,01.02.2018,18:00,0.0,0.0
19,01.02.2018,19:00,1.0,3.3845816325954923
20,01.02.2018,20:00,1.0,3.3845816325954923
21,01.02.2018,21:00,0.0,0.0
22,01.02.2018,22:00,0.0,0.0
23,01.02.2018,23:00,1.0,3.3845816325954923
24,02.02.2018,00:00,1.0,3.3845816325954923
25,02.02.2018,01:00,1.0,3.3845816325954923
26,02.02.2018,02:00,2.0,4.264305643994616
27,02.02.2018,03:00,2.0,4.264305643994616
28,02.02.2018,04:00,2.0,4.264305643994616
29,02.02.2018,05:00,2.0,4.264305643994616
30,02.02.2018,06:00,0.0,0.0
31,02.02.2018,07:00,2.0,4.264305643994616
32,02.02.2018,08:00,0.0,0.0
33,02.02.2018,09:00,0.0,0.0
34,02.02.2018,10:00,0.0,0.0
35,02.02.2018,11:00,0.0,0.0
36,02.02.2018,12:00,1.0,3.3845816325954923
37,02.02.2018,13:00,0.0,0.0
38,02.02.2018,14:00,1.0,3.3845816325954923
39,02.02.2018,15:00,0.0,0.0
40,02.02.2018,16:00,1.0,3.3845816325954923
41,02.02.2018,17:00,0.0,0.0
42,02.02.2018,18:00,0.0,0.0
43,02.02.2018,19:00,0.0,0.0
44,02.02.2018,20:00,0.0,0.0
45,02.02.2018,21:00,0.0,0.0
46,02.02.2018,22:00,0.0,0.0
47,02.02.2018,23:00,1.0,3.3845816325954923
48,03.02.2018,00:00,0.0,0.0
49,03.02.2018,01:00,1.0,3.3845816325954923
50,03.02.2018,02:00,1.0,3.3845816325954923
51,03.02.2018,03:00,1.0,3.3845816325954923
52,03.02.2018,04:00,3.0,4.881411405281195
53,03.02.2018,05:00,0.0,0.0
54,03.02.2018,06:00,0.0,0.0
55,03.02.2018,07:00,0.0,0.0
56,03.02.2018,08:00,1.0,3.3845816325954923
57,03.02.2018,09:00,0.0,0.0
58,03.02.2018,10:00,0.0,0.0
59,03.02.2018,11:00,0.0,0.0
60,03.02.2018,12:00,0.0,0.0
61,03.02.2018,13:00,0.0,0.0
62,03.02.2018,14:00,0.0,0.0
63,03.02.2018,15:00,0.0,0.0
64,03.02.2018,16:00,0.0,0.0
65,03.02.2018,17:00,0.0,0.0
66,03.02.2018,18:00,0.0,0.0
67,03.02.2018,19:00,0.0,0.0
68,03.02.2018,20:00,0.0,0.0
69,03.02.2018,21:00,0.0,0.0
70,03.02.2018,22:00,0.0,0.0
71,03.02.2018,23:00,0.0,0.0
72,04.02.2018,00:00,0.0,0.0
73,04.02.2018,01:00,0.0,0.0
74,04.02.2018,02:00,0.0,0.0
75,04.02.2018,03:00,0.0,0.0
76,04.02.2018,04:00,0.0,0.0
77,04.02.2018,05:00,1.0,3.3845816325954923
78,04.02.2018,06:00,2.0,4.264305643994616
79,04.02.2018,07:00,1.0,3.3845816325954923
80,04.02.2018,08:00,1.0,3.3845816325954923
81,04.02.2018,09:00,2.0,4.264305643994616
82,04.02.2018,10:00,3.0,4.881411405281195
83,04.02.2018,11:00,3.0,4.881411405281195
84,04.02.2018,12:00,5.0,5.787553181302037
85,04.02.2018,13:00,4.0,5.37268844405433
86,04.02.2018,14:00,3.0,4.881411405281195
87,04.02.2018,15:00,2.0,4.264305643994616
88,04.02.2018,16:00,2.0,4.264305643994616
89,04.02.2018,17:00,1.0,3.3845816325954923
90,04.02.2018,18:00,1.0,3.3845816325954923
91,04.02.2018,19:00,2.0,4.264305643994616
92,04.02.2018,20:00,4.0,5.37268844405433
93,04.02.2018,21:00,5.0,5.787553181302037
94,04.02.2018,22:00,5.0,5.787553181302037
95,04.02.2018,23:00,5.0,5.787553181302037
96,05.02.2018,00:00,7.0,6.4744717456305985
97,05.02.2018,01:00,4.0,5.37268844405433
98,05.02.2018,02:00,6.0,6.150192982710692
99,05.02.2018,03:00,2.0,4.264305643994616
100,05.02.2018,04:00,1.0,3.3845816325954923
101,05.02.2018,05:00,0.0,0.0
102,05.02.2018,06:00,0.0,0.0
103,05.02.2018,07:00,0.0,0.0
104,05.02.2018,08:00,0.0,0.0
105,05.02.2018,09:00,0.0,0.0
106,05.02.2018,10:00,0.0,0.0
107,05.02.2018,11:00,0.0,0.0
108,05.02.2018,12:00,0.0,0.0
109,05.02.2018,13:00,0.0,0.0
110,05.02.2018,14:00,0.0,0.0
111,05.02.2018,15:00,0.0,0.0
112,05.02.2018,16:00,0.0,0.0
113,05.02.2018,17:00,0.0,0.0
114,05.02.2018,18:00,0.0,0.0
115,05.02.2018,19:00,0.0,0.0
116,05.02.2018,20:00,0.0,0.0
117,05.02.2018,21:00,0.0,0.0
118,05.02.2018,22:00,1.0,3.3845816325954923
119,05.02.2018,23:00,1.0,3.3845816325954923
120,06.02.2018,00:00,2.0,4.264305643994616
121,06.02.2018,01:00,0.0,0.0
122,06.02.2018,02:00,0.0,0.0
123,06.02.2018,03:00,2.0,4.264305643994616
124,06.02.2018,04:00,2.0,4.264305643994616
125,06.02.2018,05:00,3.0,4.881411405281195
126,06.02.2018,06:00,3.0,4.881411405281195
127,06.02.2018,07:00,3.0,4.881411405281195
128,06.02.2018,08:00,4.0,5.37268844405433
129,06.02.2018,09:00,5.0,5.787553181302037
130,06.02.2018,10:00,6.0,6.150192982710692
131,06.02.2018,11:00,2.0,4.264305643994616
132,06.02.2018,12:00,2.0,4.264305643994616
133,06.02.2018,13:00,2.0,4.264305643994616
134,06.02.2018,14:00,1.0,3.3845816325954923
135,06.02.2018,15:00,0.0,0.0
136,06.02.2018,16:00,0.0,0.0
137,06.02.2018,17:00,0.0,0.0
138,06.02.2018,18:00,0.0,0.0
139,06.02.2018,19:00,0.0,0.0
140,06.02.2018,20:00,0.0,0.0
141,06.02.2018,21:00,0.0,0.0
142,06.02.2018,22:00,0.0,0.0
143,06.02.2018,23:00,0.0,0.0
144,07.02.2018,00:00,0.0,0.0
145,07.02.2018,01:00,0.0,0.0
146,07.02.2018,02:00,0.0,0.0
147,07.02.2018,03:00,0.0,0.0
148,07.02.2018,04:00,0.0,0.0
149,07.02.2018,05:00,0.0,0.0
150,07.02.2018,06:00,0.0,0.0
151,07.02.2018,07:00,0.0,0.0
152,07.02.2018,08:00,0.0,0.0
153,07.02.2018,09:00,0.0,0.0
154,07.02.2018,10:00,0.0,0.0
155,07.02.2018,11:00,0.0,0.0
156,07.02.2018,12:00,0.0,0.0
157,07.02.2018,13:00,1.0,3.3845816325954923
158,07.02.2018,14:00,0.0,0.0
159,07.02.2018,15:00,1.0,3.3845816325954923
160,07.02.2018,16:00,2.0,4.264305643994616
161,07.02.2018,17:00,8.0,6.769163265190984
162,07.02.2018,18:00,7.0,6.4744717456305985
163,07.02.2018,19:00,3.0,4.881411405281195
164,07.02.2018,20:00,0.0,0.0
165,07.02.2018,21:00,0.0,0.0
166,07.02.2018,22:00,0.0,0.0
167,07.02.2018,23:00,0.0,0.0
168,08.02.2018,00:00,0.0,0.0
169,08.02.2018,01:00,0.0,0.0
170,08.02.2018,02:00,0.0,0.0
171,08.02.2018,03:00,0.0,0.0
172,08.02.2018,04:00,0.0,0.0
173,08.02.2018,05:00,0.0,0.0
174,08.02.2018,06:00,0.0,0.0
175,08.02.2018,07:00,0.0,0.0
176,08.02.2018,08:00,0.0,0.0
177,08.02.2018,09:00,2.0,4.264305643994616
178,08.02.2018,10:00,1.0,3.3845816325954923
179,08.02.2018,11:00,0.0,0.0
180,08.02.2018,12:00,0.0,0.0
181,08.02.2018,13:00,0.0,0.0
182,08.02.2018,14:00,0.0,0.0
183,08.02.2018,15:00,1.0,3.3845816325954923
184,08.02.2018,16:00,2.0,4.264305643994616
185,08.02.2018,17:00,6.0,6.150192982710692
186,08.02.2018,18:00,5.0,5.787553181302037
187,08.02.2018,19:00,4.0,5.37268844405433
188,08.02.2018,20:00,3.0,4.881411405281195
189,08.02.2018,21:00,6.0,6.150192982710692
190,08.02.2018,22:00,5.0,5.787553181302037
191,08.02.2018,23:00,3.0,4.881411405281195
192,09.02.2018,00:00,4.0,5.37268844405433
193,09.02.2018,01:00,3.0,4.881411405281195
194,09.02.2018,02:00,1.0,3.3845816325954923
195,09.02.2018,03:00,0.0,0.0
196,09.02.2018,04:00,0.0,0.0
