,Tarih,Saat,Toplam (MWh),MUGLA WindSpeed(m/s)
0,01.02.2018,00:00,0.0,0.0
1,01.02.2018,01:00,0.1,1.1727427861491087
2,01.02.2018,02:00,2.03,3.1991513206386166
3,01.02.2018,03:00,11.94,5.774807951098399
4,01.02.2018,04:00,21.9,7.068883242746127
5,01.02.2018,05:00,18.7,6.706305071072536
6,01.02.2018,06:00,15.0,6.231125855742202
7,01.02.2018,07:00,12.0,5.784464838569775
8,01.02.2018,08:00,14.1,6.1039243299434265
9,01.02.2018,09:00,23.22,7.208144904574112
10,01.02.2018,10:00,28.1,7.681361602409217
11,01.02.2018,11:00,34.68,8.239404033573788
12,01.02.2018,12:00,34.5,8.2251242752605
13,01.02.2018,13:00,29.05,7.766967401768591
14,01.02.2018,14:00,34.95,8.260731317755981
15,01.02.2018,15:00,36.32,8.367287985186273
16,01.02.2018,16:00,38.92,8.562364543719474
17,01.02.2018,17:00,27.04,7.583534483728815
18,01.02.2018,18:00,33.22,8.12211833929519
19,01.02.2018,19:00,40.0,8.640842727953205
20,01.02.2018,20:00,53.6,9.52630247079057
21,01.02.2018,21:00,58.4,9.802579786852604
22,01.02.2018,22:00,59.0,9.836035949927426
23,01.02.2018,23:00,56.9,9.717924611670629
24,02.02.2018,00:00,62.5,10.026809779767945
25,02.02.2018,01:00,66.6,10.241435791825971
26,02.02.2018,02:00,66.0,10.210587906798475
27,02.02.2018,03:00,64.65,10.140490127615442
28,02.02.2018,04:00,64.55,10.135259025254285
29,02.02.2018,05:00,63.0,10.053476952638668
30,02.02.2018,06:00,62.4,10.021459293277184
31,02.02.2018,07:00,58.9,9.830475724915583
32,02.02.2018,08:00,63.95,10.10375840552916
33,02.02.2018,09:00,67.1,10.267001139514537
34,02.02.2018,10:00,63.2,10.064104314623888
35,02.02.2018,11:00,54.5,9.579325654509372
36,02.02.2018,12:00,52.3,9.448655173246582
37,02.02.2018,13:00,65.4,10.179552493755208
38,02.02.2018,14:00,52.3,9.448655173246582
39,02.02.2018,15:00,47.9,9.175884563198105
40,02.02.2018,16:00,34.3,8.20919950304376
41,02.02.2018,17:00,29.7,7.824469823263217
42,02.02.2018,18:00,33.6,8.152970344505345
43,02.02.2018,19:00,39.0,8.568227171051817
44,02.02.2018,20:00,49.6,9.283177667225557
45,02.02.2018,21:00,42.7,8.831044269065089
46,02.02.2018,22:00,57.3,9.740643395957337
47,02.02.2018,23:00,58.0,9.780148175761601
48,03.02.2018,00:00,49.0,9.245593540441739
49,03.02.2018,01:00,48.1,9.188637720073281
50,03.02.2018,02:00,43.2,8.865379934289741
51,03.02.2018,03:00,35.0,8.26466874986686
52,03.02.2018,04:00,36.5,8.381087825448567
53,03.02.2018,05:00,45.3,9.006765124584838
54,03.02.2018,06:00,29.0,7.762508751304416
55,03.02.2018,07:00,25.9,7.47542734503912
56,03.02.2018,08:00,38.9,8.560897631827872
57,03.02.2018,09:00,30.0,7.8507266301938055
58,03.02.2018,10:00,9.5,5.351111149550821
59,03.02.2018,11:00,1.2,2.684910740313122
60,03.02.2018,12:00,1.34,2.7855077404172683
61,03.02.2018,13:00,10.06,5.454254899261625
62,03.02.2018,14:00,40.3,8.662391053409026
63,03.02.2018,15:00,48.4,9.207701338455438
64,03.02.2018,16:00,59.2,9.84713758006128
65,03.02.2018,17:00,63.2,10.064104314623888
66,03.02.2018,18:00,66.4,10.231173825242516
67,03.02.2018,19:00,56.25,9.680778403825864
68,03.02.2018,20:00,55.45,9.63466503584446
69,03.02.2018,21:00,63.0,10.053476952638668
70,03.02.2018,22:00,65.24,10.171244346833259
71,03.02.2018,23:00,67.86,10.305618353814724
72,04.02.2018,00:00,66.6,10.241435791825971
73,04.02.2018,01:00,66.5,10.23630738045677
74,04.02.2018,02:00,65.5,10.184738206569504
75,04.02.2018,03:00,71.3,10.47689553171647
76,04.02.2018,04:00,68.45,10.335399167009495
77,04.02.2018,05:00,68.45,10.335399167009495
78,04.02.2018,06:00,66.8,10.251677234442017
79,04.02.2018,07:00,66.7,10.246559072216172
80,04.02.2018,08:00,64.3,10.122157589986687
81,04.02.2018,09:00,62.9,10.048154835734792
82,04.02.2018,10:00,64.1,10.111651969994124
83,04.02.2018,11:00,66.0,10.210587906798475
84,04.02.2018,12:00,64.0,10.106390963857129
85,04.02.2018,13:00,62.9,10.048154835734792
86,04.02.2018,14:00,62.1,10.005373456165726
87,04.02.2018,15:00,65.1,10.163963568148532
88,04.02.2018,16:00,62.5,10.026809779767945
89,04.02.2018,17:00,58.9,9.830475724915583
90,04.02.2018,18:00,62.4,10.021459293277184
91,04.02.2018,19:00,60.2,9.90227387803708
92,04.02.2018,20:00,59.4,9.858214234596545
93,04.02.2018,21:00,58.8,9.82490920292981
94,04.02.2018,22:00,63.5,10.080003400004813
95,04.02.2018,23:00,64.1,10.111651969994124
96,05.02.2018,00:00,65.5,10.184738206569504
97,05.02.2018,01:00,66.0,10.210587906798475
98,05.02.2018,02:00,63.67,10.08899066326455
99,05.02.2018,03:00,65.11,10.164483969745273
100,05.02.2018,04:00,59.22,9.848246367096893
101,05.02.2018,05:00,48.3,9.201355573979184
102,05.02.2018,06:00,44.3,8.939996434227673
103,05.02.2018,07:00,35.0,8.26466874986686
104,05.02.2018,08:00,25.8,7.46579405170612
105,05.02.2018,09:00,22.3,7.111661187100116
106,05.02.2018,10:00,15.3,6.272392792517293
107,05.02.2018,11:00,15.0,6.231125855742202
108,05.02.2018,12:00,7.6,4.967531551835187
109,05.02.2018,13:00,4.3,4.10858480232731
110,05.02.2018,14:00,4.3,4.10858480232731
111,05.02.2018,15:00,3.7,3.9078391383662168
112,05.02.2018,16:00,0.89,2.430334800617182
113,05.02.2018,17:00,0.0,0.0
114,05.02.2018,18:00,0.0,0.0
115,05.02.2018,19:00,0.0,0.0
116,05.02.2018,20:00,0.0,0.0
117,05.02.2018,21:00,0.64,2.1773559283558566
118,05.02.2018,22:00,3.0,3.643984506245405
119,05.02.2018,23:00,2.9,3.6030373940876053
120,06.02.2018,00:00,3.37,3.788024132578658
121,06.02.2018,01:00,5.45,4.4463290991511135
122,06.02.2018,02:00,7.15,4.867486818584974
123,06.02.2018,03:00,7.45,4.934633026765722
124,06.02.2018,04:00,5.7,4.513301939191556
125,06.02.2018,05:00,12.7,5.8948217485720145
126,06.02.2018,06:00,20.8,6.948491786439679
127,06.02.2018,07:00,31.1,7.945530513719941
128,06.02.2018,08:00,20.95,6.9651549000950626
129,06.02.2018,09:00,17.9,6.609274361407999
