,Tarih,Saat,Toplam (MWh),OSMANIYE WindSpeed(m/s)
0,01.02.2018,00:00,0.0,0.0
1,01.02.2018,01:00,0.0,0.0
2,01.02.2018,02:00,0.0,0.0
3,01.02.2018,03:00,0.0,0.0
4,01.02.2018,04:00,0.0,0.0
5,01.02.2018,05:00,0.0,0.0
6,01.02.2018,06:00,0.0,0.0
7,01.02.2018,07:00,2.0,2.669098201764822
8,01.02.2018,08:00,4.0,3.3628530086400525
9,01.02.2018,09:00,4.0,3.3628530086400525
10,01.02.2018,10:00,4.0,3.3628530086400525
11,01.02.2018,11:00,5.0,3.6225235896461094
12,01.02.2018,12:00,3.0,3.0553547263336784
13,01.02.2018,13:00,2.0,2.669098201764822
14,01.02.2018,14:00,1.0,2.1184646466439543
15,01.02.2018,15:00,1.0,2.1184646466439543
16,01.02.2018,16:00,1.0,2.1184646466439543
17,01.02.2018,17:00,3.0,3.0553547263336784
18,01.02.2018,18:00,6.0,3.849505734603591
19,01.02.2018,19:00,7.0,4.05247708216611
20,01.02.2018,20:00,6.0,3.849505734603591
21,01.02.2018,21:00,7.0,4.05247708216611
22,01.02.2018,22:00,4.0,3.3628530086400525
23,01.02.2018,23:00,8.0,4.236929293287909
24,02.02.2018,00:00,12.0,4.850073306718091
25,02.02.2018,01:00,14.0,5.105801180037638
26,02.02.2018,02:00,14.0,5.105801180037638
27,02.02.2018,03:00,13.0,4.981219408364026
28,02.02.2018,04:00,14.0,5.105801180037638
29,02.02.2018,05:00,12.0,4.850073306718091
30,02.02.2018,06:00,13.0,4.981219408364026
31,02.02.2018,07:00,20.0,5.750397756983852
32,02.02.2018,08:00,21.0,5.844683330434693
33,02.02.2018,09:00,19.0,5.652914555863879
34,02.02.2018,10:00,10.0,4.564093724335871
35,02.02.2018,11:00,11.0,4.711423196711114
36,02.02.2018,12:00,13.0,4.981219408364026
37,02.02.2018,13:00,17.0,5.447169146375903
38,02.02.2018,14:00,10.0,4.564093724335871
39,02.02.2018,15:00,5.0,3.6225235896461094
40,02.02.2018,16:00,2.0,2.669098201764822
41,02.02.2018,17:00,1.0,2.1184646466439543
42,02.02.2018,18:00,0.0,0.0
43,02.02.2018,19:00,1.0,2.1184646466439543
44,02.02.2018,20:00,2.0,2.669098201764822
45,02.02.2018,21:00,3.0,3.0553547263336784
46,02.02.2018,22:00,1.0,2.1184646466439543
47,02.02.2018,23:00,0.0,0.0
48,03.02.2018,00:00,0.0,0.0
49,03.02.2018,01:00,0.0,0.0
50,03.02.2018,02:00,0.0,0.0
51,03.02.2018,03:00,0.0,0.0
52,03.02.2018,04:00,0.0,0.0
53,03.02.2018,05:00,0.0,0.0
54,03.02.2018,06:00,1.0,2.1184646466439543
55,03.02.2018,07:00,0.0,0.0
56,03.02.2018,08:00,0.0,0.0
57,03.02.2018,09:00,0.0,0.0
58,03.02.2018,10:00,0.0,0.0
59,03.02.2018,11:00,0.0,0.0
60,03.02.2018,12:00,0.0,0.0
61,03.02.2018,13:00,0.0,0.0
62,03.02.2018,14:00,22.0,5.936021260499325
63,03.02.2018,15:00,36.0,6.995016142573598
64,03.02.2018,16:00,21.0,5.844683330434693
65,03.02.2018,17:00,1.0,2.1184646466439543
66,03.02.2018,18:00,19.0,5.652914555863879
67,03.02.2018,19:00,14.0,5.105801180037638
68,03.02.2018,20:00,6.0,3.849505734603591
69,03.02.2018,21:00,4.0,3.3628530086400525
70,03.02.2018,22:00,1.0,2.1184646466439543
71,03.02.2018,23:00,0.0,0.0
72,04.02.2018,00:00,0.0,0.0
73,04.02.2018,01:00,1.0,2.1184646466439543
74,04.02.2018,02:00,0.0,0.0
75,04.02.2018,03:00,0.0,0.0
76,04.02.2018,04:00,1.0,2.1184646466439543
77,04.02.2018,05:00,1.0,2.1184646466439543
78,04.02.2018,06:00,2.0,2.669098201764822
79,04.02.2018,07:00,0.0,0.0
80,04.02.2018,08:00,2.0,2.669098201764822
81,04.02.2018,09:00,9.0,4.406584041191457
82,04.02.2018,10:00,17.0,5.447169146375903
83,04.02.2018,11:00,12.0,4.850073306718091
84,04.02.2018,12:00,2.0,2.669098201764822
85,04.02.2018,13:00,11.0,4.711423196711114
86,04.02.2018,14:00,7.0,4.05247708216611
87,04.02.2018,15:00,6.0,3.849505734603591
88,04.02.2018,16:00,7.0,4.05247708216611
89,04.02.2018,17:00,13.0,4.981219408364026
90,04.02.2018,18:00,11.0,4.711423196711114
91,04.02.2018,19:00,10.0,4.564093724335871
92,04.02.2018,20:00,10.0,4.564093724335871
93,04.02.2018,21:00,2.0,2.669098201764822
94,04.02.2018,22:00,2.0,2.669098201764822
95,04.02.2018,23:00,4.0,3.3628530086400525
