,Tarih,Saat,Toplam (MWh),SIVAS WindSpeed(m/s)
0,01.02.2018,00:00,4.02,6.42059095112132
1,01.02.2018,01:00,5.63,7.1834948204482965
2,01.02.2018,02:00,5.18,6.98676663975146
3,01.02.2018,03:00,1.67,4.790768018809777
4,01.02.2018,04:00,1.41,4.527995871729657
5,01.02.2018,05:00,2.61,5.559637647513121
6,01.02.2018,06:00,1.58,4.703112279664926
7,01.02.2018,07:00,1.3,4.407044496290185
8,01.02.2018,08:00,2.53,5.5022437410316325
9,01.02.2018,09:00,3.22,5.962818751969691
10,01.02.2018,10:00,4.76,6.79258844897448
11,01.02.2018,11:00,4.4,6.6168386331540585
12,01.02.2018,12:00,3.09,5.881468984588407
13,01.02.2018,13:00,1.53,4.652968669853807
14,01.02.2018,14:00,1.22,4.314723084108097
15,01.02.2018,15:00,1.78,4.89372602913838
16,01.02.2018,16:00,1.76,4.87532838919203
17,01.02.2018,17:00,2.23,5.2755523751107525
18,01.02.2018,18:00,2.76,5.664166512161974
19,01.02.2018,19:00,1.76,4.87532838919203
20,01.02.2018,20:00,0.74,3.652387865634361
21,01.02.2018,21:00,2.2,5.251788303486288
22,01.02.2018,22:00,6.9,7.687456681969696
23,01.02.2018,23:00,5.96,7.3211910128325925
24,02.02.2018,00:00,6.9,7.687456681969696
25,02.02.2018,01:00,4.02,6.42059095112132
26,02.02.2018,02:00,3.55,6.15992988728089
27,02.02.2018,03:00,4.17,6.499475879019712
28,02.02.2018,04:00,3.0,5.823803810478283
29,02.02.2018,05:00,2.0,5.087561239290647
30,02.02.2018,06:00,2.23,5.2755523751107525
31,02.02.2018,07:00,4.28,6.556130269230201
32,02.02.2018,08:00,5.17,6.982267754644158
33,02.02.2018,09:00,4.76,6.79258844897448
34,02.02.2018,10:00,6.88,7.680021999689456
35,02.02.2018,11:00,5.11,6.955151878547992
36,02.02.2018,12:00,5.85,7.275870154695827
37,02.02.2018,13:00,5.68,7.204697702622761
38,02.02.2018,14:00,8.6,8.2730529081695
