,Tarih,Saat,Toplam (MWh),YALOVA WindSpeed(m/s)
0,01.02.2018,00:00,1.0,(2.5934689301454257+0j)
1,01.02.2018,01:00,3.0,(3.7404294501078543+0j)
2,01.02.2018,02:00,5.0,(4.434769489002025+0j)
3,01.02.2018,03:00,8.0,(5.186937860290851+0j)
4,01.02.2018,04:00,19.0,(6.920416769109193+0j)
5,01.02.2018,05:00,22.0,(7.2670019451002315+0j)
6,01.02.2018,06:00,30.0,(8.058510962929244+0j)
7,01.02.2018,07:00,32.0,(8.233750615919378+0j)
8,01.02.2018,08:00,36.0,(8.563445729608777+0j)
9,01.02.2018,09:00,27.0,(7.7804067904362775+0j)
10,01.02.2018,10:00,32.0,(8.233750615919378+0j)
11,01.02.2018,11:00,29.0,(7.9679582309792645+0j)
12,01.02.2018,12:00,32.0,(8.233750615919378+0j)
13,01.02.2018,13:00,30.0,(8.058510962929244+0j)
14,01.02.2018,14:00,29.0,(7.9679582309792645+0j)
15,01.02.2018,15:00,34.0,(8.40183255234561+0j)
16,01.02.2018,16:00,33.0,(8.318640627219+0j)
17,01.02.2018,17:00,28.0,(7.875299152181772+0j)
18,01.02.2018,18:00,38.0,(8.71917876144614+0j)
19,01.02.2018,19:00,35.0,(8.483408843919547+0j)
20,01.02.2018,20:00,41.0,(8.942844277324411+0j)
21,01.02.2018,21:00,32.0,(8.233750615919378+0j)
22,01.02.2018,22:00,35.0,(8.483408843919547+0j)
23,01.02.2018,23:00,32.55,(8.280655437604954+0j)
24,02.02.2018,00:00,31.0,(8.147073119737046+0j)
25,02.02.2018,01:00,33.0,(8.318640627219+0j)
26,02.02.2018,02:00,34.0,(8.40183255234561+0j)
27,02.02.2018,03:00,37.0,(8.642013840595439+0j)
28,02.02.2018,04:00,35.0,(8.483408843919547+0j)
29,02.02.2018,05:00,35.0,(8.483408843919547+0j)
30,02.02.2018,06:00,34.0,(8.40183255234561+0j)
31,02.02.2018,07:00,31.0,(8.147073119737046+0j)
32,02.02.2018,08:00,39.0,(8.795001513010876+0j)
33,02.02.2018,09:00,45.0,(9.22469227303727+0j)
34,02.02.2018,10:00,24.0,(7.480858900215709+0j)
35,02.02.2018,11:00,39.0,(8.795001513010876+0j)
36,02.02.2018,12:00,36.0,(8.563445729608777+0j)
37,02.02.2018,13:00,36.0,(8.563445729608777+0j)
38,02.02.2018,14:00,37.0,(8.642013840595439+0j)
39,02.02.2018,15:00,35.0,(8.483408843919547+0j)
40,02.02.2018,16:00,42.0,(9.014967103870655+0j)
41,02.02.2018,17:00,33.0,(8.318640627219+0j)
42,02.02.2018,18:00,36.0,(8.563445729608777+0j)
43,02.02.2018,19:00,35.0,(8.483408843919547+0j)
44,02.02.2018,20:00,35.0,(8.483408843919547+0j)
45,02.02.2018,21:00,38.0,(8.71917876144614+0j)
46,02.02.2018,22:00,34.0,(8.40183255234561+0j)
47,02.02.2018,23:00,39.73,(8.849537444118317+0j)
48,03.02.2018,00:00,31.0,(8.147073119737046+0j)
49,03.02.2018,01:00,33.0,(8.318640627219+0j)
50,03.02.2018,02:00,36.0,(8.563445729608777+0j)
